id,part,problem,rest,cylinders,engine
103015,,,,,
103016,,,,,
103017,,,,,
103018,,,,,
103019,,,,,
103020,,,,,
103021,,,,,
103022,INTAKE,LEAKING,,2,
103023,,,,,
103024,,,,,
103025,ROCKER COVER GASKET,LEAKING,,3,
103026,INTAKE GASKET,LEAKING,,3,
103027,INTAKE GASKET,LEAKING,,2,
103028,ROCKER COVER GASKET,LEAKING,,2,
103029,INTAKE,LEAKING,,4,
103030,,,,,
103031,BOTH BAFFLE PLUG,WORN,,,
103032,INTAKE GASKET,LEAKING,,4,
103033,BAFFLE PLUG,MISSING,FINGERS,,R/H
103034,ROCKER COVER GASKET,LEAKING,,4,
103035,INTAKE,LEAKING,,4,
103036,INTAKE GASKET,LEAKING,,4 3,
103037,ROCKER COVER GASKET,LEAKING,,2,
103038,,,,,
103039,CYL,COMPRESSION,COMPRESSION LOW. AIR NOTED & OBSERVED OUT OF EXHAUST,2,
103040,CYL,COMPRESSION,COMPRESSION LOW. AIR NOTED & OBSERVED OUT OF EXHAUST,2,
103041,CYL,COMPRESSION,COMPRESSION LOW. AIR NOTED & OBSERVED OUT OF EXHAUST,2,
103042,ROCKER COVER,LEAKING,,3 2,
103043,ROCKER COVER,LEAKING,,2,
103044,,,,,
103045,ROCKER COVER GASKET,LEAKING,,4 3,
103046,INTAKE GASKET,LEAKING,,4,
103047,SNIFFLER VALVE,DIRTY,,,
103048,ROCKER COVER GASKET,LEAKING,,4 2,
103049,ROCKER GASKET,LEAKING,,4 3 2,
103050,INTAKE,LEAKING,,2,
103051,ROCKER COVER GASKET,LEAKING,,4,
103052,INTAKE,LEAKING,"INTAKE LEAKING, CYL #2 INTAKE L",4 3,
103053,,,,,
103054,,,,,
103055,ROCKER COVER SCREW,LOOSE,,4 3 2 1,
103056,,,,,
103057,,,,,
103058,BOTH BAFFLE PLUG,WORN,,,
103059,ROCKER COVER,LEAKING,,4 2,
103060,BAFFLE PLUG,WORN,,,
103061,INTAKE,LEAKING,,2,
103062,INTAKE,LEAKING,,3,
103063,INDUCTION TUBE GASKET,LEAKING,,4,
103064,,,,,
103065,,,,,
103066,FUEL TOP ENGINE BAFFLE SEAL,NEEDS,TO BE SECURED,,R/H
103067,INTAKE GASKET,LEAKING,,3 2,
103068,ROCKER COVER GASKET,LEAKING,,3 2,
103069,,,,,
103070,INTAKE,LEAKING,,4,
103071,,,,,
103072,,,,,
103073,INTAKE GASKET,LEAKING,,4 2,
103074,FOAM SEAL,LOOSE,"BULKHEAD, BEHIND ENGINE INLET",,R/H
103075,,WORN,,,L/H REAR
103076,INTAKE GASKET,LEAKING,,4,
103077,ROCKER COVER GASKET,LEAKING,,3,
103078,,,,,
103079,,,,,
103080,INTAKE,LEAKS,,4,
103081,FRONT BAFFLE SEAL,WORN,BY ENG INLET & EDGES,,
103082,,LEAKING,,4 3 2 1,
103083,INTAKE,LEAKING,,3,
103084,ROCKER COVER,LEAKING,,2,
103085,ROCKER GASKET,LEAKING,,1,
103086,INTAKE GASKET,LEAKING,,1,
103087,INTAKE,LEAKING,,4 2,
103088,INTAKE GASKET,LEAKING,,4 3 2,
103089,ROCKER COVER,MISSING,HARDWARE,4 2,
103090,,,,,
103091,ROCKER COVER GASKET,LEAKING,,2 1,
103092,,,,,
103093,SIDE COWL SEAL,LOOSE,,,L/H
103094,INTAKE GASKET,LEAKING,,4 3,
103095,ROCKER GASKET,LEAKING,,4 3 2 1,
103096,INTAKE GASKET,LEAKING,,4,
103097,INTAKE GASKET,LEAKING,,3,
103098,INTAKE GASKET,LEAKING,,4 2,
103099,,,,,
103100,AFT BAFFLE,CRACKED,,3,R/H
103101,INTAKE,LEAKING,,3 2,R/H
103102,INTAKE,LEAKING,,4 3 2,L/H
103103,ROCKER COVER,LEAKING,,4 3 2,R/H
103104,,,,,
103105,,,,,
103106,FWD BAFFLE SEAL,WORN,SPOTS,,
103107,INTAKE GASKET,LEAKING,,4,R/H
103108,INTAKE,LEAKING,,4 2,L/H
103109,ROCKER GASKET,LEAKING,,4,R/H
103110,ROCKER COVER,LEAKING,,4,L/H
103111,INDUCTION PIPE,LEAKING,,3 2,L/H
103112,,,,,
103113,,,,,
103114,,,,,
103115,,,,,
103116,,,,,
103117,,,,,
103118,,,,,
103119,,,,,
103120,,,,,
103121,,,,,
103122,INTAKE GASKET,LEAKING,,4 3,
103123,,,,,
103124,,TORN,,,
103125,,LOOSE,& CHAFING THROUGH,,
103126,,TORN,,,
103127,SCREW,MISSING,AT #3 CYL BAFFLE,,
103128,ROCKER COVER GASKET,LEAKING,,3 2,L/H
103129,,,,,
103130,INTAKE TUBE GASKET,LEAKING,,2,
103131,INTAKE GASKET,LEAKING,,2,
103132,ROCKER COVER,LEAKING,,3 2,
103133,CHT FITTING,NEEDS,TO BE REPLACED,2,
103134,INTAKE,LEAKING,,4,
103135,,,,,
103136,INTAKE GASKET,LEAKING,,2,
103137,INTAKE,LEAKING,,4 3 1,
103138,,,,,
103139,,,,,
103140,INTAKE,LEAKING,,4,
103141,ENGINE BAFFLE PLUG,WORN,,,
103142,ROCKER COVER,LEAKING,,3 2 1,
103143,INTAKE GASKET,LEAKING,,3,
103144,,,,,
103145,INTAKE,LEAKING,,2 1,
103146,INTAKE GASKET,LEAKING,,4 1,
103147,INTAKE GASKET,LEAKING,,2,
103148,ROCKER COVER GASKET,LEAKING,,1,
103149,,LOOSE,,1,
103150,ROCKER COVER,LEAKING,,2,
103151,BAFFLE MOUNTING BRACKET,LOOSE,,,R/H AFT
103152,BOLT,MISSING,SIDE BAFFLE,3,
103153,ROCKER COVER GASKET,LEAKING,,3,
103154,INTAKE TUBE GASKET,LEAKING,,2,
103155,INTAKE GASKET,LEAKING,,4 3,
103156,,LEAKING,AT SUMP,2,
103157,,,,,
103158,,,,,
103159,OIL,LEAK,"AT CRANKCASE BOLTS, USED TO MOUNT FUEL FLOW TRANSDU",,
103160,INTAKE GASKET,LEAKING,,2,
103161,ROCKER COVER GASKET,LEAKING,,2,
103162,INTAKE,LEAKING,,4 2,
103163,ROCKER COVER,LEAK,,4 3,
103164,ROCKER BOX COVER GASKET,LEAKING,,1,
103165,,,,,
103166,,,,,
103167,,,,,
103168,,,,,
103169,LWR FWD ENG SEAL,WORN,IN AREA ABOVE ENG INLET,,
103170,,,,,
103171,,,,,
103172,,,,,
103173,INTAKE,LEAKING,,4 2,
103174,INTAKE GASKET,LEAKING,,4,
103175,FRONT CRANKSHAFT OIL SEAL,LEAKING,,,
103176,FRONT CRANKSHAFT OIL SEAL,LEAKING,,,
103177,INTAKE GASKET,LEAKING,,3 2,
103178,INTAKE GASKET,LEAKING,,2,
103179,INTAKE GASKET,LEAKING,,2,
103180,ROCKER COVER GASKET,LEAKING,,3,
103181,,COMPRESSION,"COMPRESSION ON #1 CYLINDER. LEAKING FROM EXHAUST VALVE,",,
103182,INTAKE,LEAKS,,2,
103183,,,,,
103184,,,,,
103185,INTAKE GASKET,LEAKING,,2,
103186,INTAKE GASKET,LEAKING,,1,
103187,OUTER BAFFLING,CRACKED,BY NUTPLATE,1,
103188,INTAKE GASKET,LEAKING,,3 2,
103189,,,,,
103190,BOTTOM BAFFLE,CRACKED,/CHAFING ON CYL FINS,4,
103191,,LOOSE,,4 3 2 1,
103192,INTAKE GASKET,LEAKING,,4 3,
103193,,,,,
103194,,,,,
103195,,,,,
103196,,,,,
103197,,,,,
103198,,WORN,,1,
103199,,,,,
103200,,,,,
103201,,OIL LEAK,AT HOISTING LOOP,,R/H
103202,INTAKE GASKET,LEAKING,,4 3 2,R/H
103203,SIDE BAFFLE SEAL,LOOSE,,1,R/H
103204,INTAKE GASKET,LEAKING,,4 2,L/H
103205,ROCKER COVER GASKET,LEAKING,,4 3 1,L/H
103206,INTAKE GASKET,LEAKING,,4 3 2,R/H
103207,INTAKE GASKET,LEAKING,,4 2,L/H
103208,,OIL LEAK,AT HOISTING LOOP,,R/H
103209,ROCKER COVER GASKET,LEAKING,,4 3 1,L/H
103210,LOWER COWL SEAL,LOOSE,,,
103211,COWL BRACKET,CRACKED,,,L/H
103212,COWL BRACKET,CRACKED,,,L/H
103213,,,,,
103214,INTAKE GASKET,LEAKING,,4,
103215,ROCKER COVER GASKET,LEAKING,,3,
103216,ROCKER COVER GASKET,LEAKING,,4,
103217,ROCKER COVER GASKET,LEAKING,,3 2,
103218,INTAKE GASKET,LEAKING,,3 2,
103219,INTAKE GASKET,LEAKING,,3,
103220,INTAKE,LEAKING,,3,
103221,,,,,
103222,ROCKER COVER,LEAKING,,4,L/H
103223,INTAKE,LEAKING,,4 2,L/H
103224,INTAKE,LEAKING,,4 3 2,R/H
103225,INTAKE,LEAKING,,4,
103226,BAFFLE TIE ROD,BROKEN,,,R/H
103227,ROCKER COVER GASKET,LEAKING,,4,
103228,INTAKE GASKET,LEAKING,,4 1,
103229,OUTER CYL BAFFLING,CRACKED,BY NUTPLATE,1,
103230,INDUCTION TUBE GASKET,LEAKING,,4,
103231,INTAKE,LEAKING,,4 3,
103232,,,,,
103233,,,,,
103234,,WORN,,,
103235,,,,,
103236,,,,,
103237,BAFFLE BOLT OR SCREW,MISSING,FWD L/H SIDE IN FRONT OF #2 CY,,
103238,,,,,
103239,NUT,MISSING,"TOP BACK BONE OF ENG, AFT SLING POINT",,
103240,,,,,
103241,,,,,
103242,ENGINE BAFFLE,CRACKED,ABOVE #1 CYL,,
103243,INTAKE GASKET,LEAKING,,4,
103244,BAFFLE PLUG,DAMAGED,REQUIRES REPLACEMENT,,
103245,ROCKER COVER,LEAKING,,4,
103246,,,,,
103247,INTAKE GASKET,LEAKING,,3 2 1,
103248,ROCKER COVER GASKET,LEAKING,,4 3,
103249,INTAKE,LEAKING,,2,
103250,INTAKE,LEAKING,,2,
103251,INNER BAFFLE CONNECTOR ROD,BROKEN,,4 2,
103252,INTAKE GASKET,LEAKING,,4,
103253,INTAKE,LEAKING,,1,
103254,,,,,
103255,ROCKER COVER GASKET,LEAKING,,2 1,
103256,INTAKE GASKET,LEAKING,,4 2,
103257,,,,,
103258,,,,,
103259,,,,,
103260,ROCKER COVER,LEAKING,,3,
103261,ROCKER COVER,LEAKING,(ALL 4),4 3 2 1,
103262,,WORN,OFF OF BAFFLE PLUGS,,
103263,INTAKE,LEAKING,,1,
103264,INTAKE GASKET,LEAKING,,4 3 2 1,
103265,ROCKER COVER GASKET,LEAKING,,4 1,
103266,INTAKE,LEAKING,,4 3 2,L/H
103267,FWD BAFFLE SEAL,LOOSE,,,R/H
103268,BAFFLE ATTACH BRACKET,LOOSE,,,R/H REAR
103269,INTAKE GASKET,LEAKING,,2,
103270,SIDE BAFFLE SEAL,WORN,,4 3,
103271,BAFFLE,CRACKED,@ #1 CYL,,
103272,,,,,
103273,,,,,
103274,INTAKE,LEAKING,,4 2,
103275,,WORN,,,
103276,FWD BAFFLE SEAL,WORN,SPOTS BY ENG INDUCTION,,
103277,,,,,
103278,SCREW,MISSING,"ROCKER COVER, L/H ENGINE",3,
103279,ROCKER COVER,LEAKING,,3 2,R/H
103280,INTAKE,LEAKING,,4 3 2,R/H
103281,INTAKE GASKET,LEAKING,,4 2,L/H
103282,ROCKER COVER,LEAKING,,4 3,L/H
103283,,,,,
103284,INTAKE GASKET,LEAKING,,4 3 2,L/H
103285,,,,,
103286,ROCKER BOX COVER,LEAKING,,4 2,R/H
103287,BAFFLE CONNECTION ROD,LOOSE,OF L/H ENGINE,3 1,
103288,INTAKE,LEAKING,,4 3,
103289,,WORN,,4 3,
103290,,,,,
103291,SCREW,MISSING,"ENGINE BAFFLE #3 CYL, BY OIL FILL TUBE",,
103292,,CRACKED,ABOVE #4 CYL,,
103293,CYL,DEAD,,4,L/H
103294,,TORN,,,L/H
103295,INTAKE,LEAKING,,4 3,L/H
103296,,,,,
103297,INTAKE,LEAKING,,4 3 2,R/H
103298,CYL,DEAD,,4,L/H
103299,CYL,DEAD,,4,L/H
103300,CYL,DEAD,,4,L/H
103301,ROCKER GASKET,LEAKING,,4 1,L/H
103302,,LEAKING,OIL IN MIDDLE,,L/H
103303,INTAKE GASKET,LEAKING,,,L/H
103304,,NEEDS,INSTALLATION,,L/H
103305,,NEEDS,INSTALLATION,,R/H
103306,INTAKE,LEAKING,,4 2 1,
103307,INTAKE GASKET,LEAKING,,1,
103308,,BROKEN,STAND OFF ON #2 CYL,,
103309,BATTERY BOX BRACKET,CRACKED,,,
103310,,OIL LEAK,ENGINE,,
103311,,BROKEN,TABS,4,
103312,ROCKER COVER,LEAKING,,2,
103313,,,,,
103314,INTERCYLINDER BAFFLE,CRACKED,,4 2,
103315,INTAKE,LEAKING,,3 2,L/H
103316,INTAKE,LEAKING,,4 2,R/H
103317,,,,,
103318,ROCKER COVER,LEAKING,,4 3 2 1,R/H
103319,ROCKER COVER,LEAKING,,4 3 2 1,L/H
103320,,,,,
103321,,,,,
103322,,,,,
103323,,,,,
103324,ROCKER COVER,LEAKING,,1,
103325,,,,,
103326,INTAKE GASKET,LEAKING,,4 2 1,
103327,ENGINE,FAILED,ONCE ON RUN UP. ENGINE RAN ROUGH & ALMOST QUIT,,
103328,INTAKE,LEAKING,,4 2,R/H
103329,INTAKE,LEAKING,,3 1,L/H
103330,INTAKE GASKET,LEAKING,,4 3,
103331,INTAKE,LEAKING,,4,
103332,FWD ENGINE BAFFLE SEAL,LOOSE,,,R/H
103333,INTAKE,LEAKING,,3,
103334,BAFFLE SCREW,MISSING,ABOVE STARTER,2,
103335,INTAKE,LEAKING,,4,
103336,,LOOSE,,,R/H
103337,INTAKE GASKET,LEAKING,,2,
103338,ROCKER COVER,LEAKING,,4 1,
103339,ROCKER COVER GASKET,LEAKING,,2 1,
103340,INTAKE GASKET,LEAKING,,3,
103341,INTAKE GASKET,LEAKING,,2,
103342,BAFFLE,CRACKED,ABOVE #1 CYL,,
103343,INTAKE GASKET,LEAKING,,2,
103344,ROCKER COVER GASKET,LEAKING,,4 3,
103345,INTAKE,LEAKING,,4 2 1,
103346,,BROKEN,,,R/H
103347,INTAKE GASKET,LEAKING,,4,
103348,INTAKE,LEAKING,,3,
103349,SCREW,MISSING,BAFFLE,,R/H
103350,FWD LWR ENG BAFFLE SEAL,WORN,ABOVE ENG AIR INTAKE,,
103351,INTAKE GASKET,LEAKING,,3,
103352,RIGHT BAFFLE PLUG,DAMAGED,,,
103353,,,,,
103354,INTAKE GASKET,LEAKING,,3,
103355,,,,,
103356,OIL FILLER TUBE,LOOSE,,,
103357,,BROKEN,,,
103358,AFT BAFFLE TAB RIVET,LOOSE,,3,
103359,INTAKE GASKET,LEAKING,,4,
103360,,,,,
103361,BAFFLE,CRACKED,,3,
103362,ENG FWD LWR COWL SEAL,WORN,ABOVE AIR INTAKE,,
103363,BOLT,MISSING,"BAFFLE, R/H ENG",4,
103364,ROCKER COVER GASKET,LEAKING,,4,
103365,INTAKE GASKET,LEAKING,,2 1,
103366,INTAKE GASKET,LEAKING,,3,R/H
103367,ROCKER COVER GASKET,LEAKING,,3,
103368,ROCKER COVER,LEAKING,,4,
103369,ROCKER COVER SCREW,NEED,TIGHTENING,4 3 2 1,
103370,RIGHT BAFFLE TIE ROD,BROKEN,,,
103371,ROCKER COVER GASKET,LEAKING,,3 2,L/H
103372,BAFFLE SEAL,WORN,& WEARING ABOVE ENG INLET,,
103373,,,,,
103374,ROCKER COVER,LEAKING,,2 1,
103375,,LEAKING,,3 1,
103376,INTAKE GASKET,LEAKING,,4,L/H
103377,INTAKE GASKET,LEAKING,,4 3,R/H
103378,INTAKE,LEAKING,,2,
103379,INTAKE,LEAKING,,3,R/H
103380,ROCKER COVER,LEAKING,,2 1,L/H
103381,FWD ENGINE BAFFLE,LOOSE,,,R/H
103382,INTAKE TUBE GASKET,LEAKING,,2,
103383,,,,,
103384,,,,,
103385,ENGINE,NEEDS,TO BE PRESERVED,,
103386,ENGINE,NEEDS,TO BE PRESERVED,,
103387,ENGINE,NEEDS,TO BE PRESERVED,,
103388,ENGINE,NEEDS,TO BE PRESERVED,,
103389,ENGINE,NEEDS,TO BE PRESERVED,,
103390,ENGINE,NEEDS,TO BE PRESERVED,,
103391,ENGINE,NEEDS,TO BE PRESERVED,,
103392,ENGINE,NEEDS,TO BE PRESERVED,,
103393,INTAKE GASKET,LEAKING,,4,
103394,SCREW,MISSING,FROM R/H ENGINE #4 BAFFLE,,
103395,,,,,
103396,BAFFLE TIE ROD,MISSING,UNDER #2 & 4 CYLINDERS,,
103397,,,,,
103398,ENGINE BAFFLE,CRACKED,,3,
103399,BAFFLE,CRACKED,,2,
103400,AFT BAFFLE,CRACKED,,3,
103401,FWD BAFFLE,CRACKED,,1,
103402,ROCKER COVER,LEAKING,,4,
103403,INTAKE,LEAKING,,4 2,
103404,INTAKE GASKET,LEAKING,,2,
103405,ROCKER COVER GASKET,LEAKING,,4 3 2,
103406,BAFFLE CONNECTION ROD,BROKEN,,4 2,
103407,INTAKE GASKET,LEAKING,,2,
103408,BAFFLE SCREW,MISSING,,,R/H REAR
103409,INDUCTION TUBE GASKET,LEAKING,,4,
103410,,LEAKING,,3,
103411,INTAKE,LEAKING,,4,
103412,ROCKER GASKET,LEAKING,,2,
103413,INTAKE GASKET,LEAKING,,4 3 1,
103414,INTAKE,LEAKING,,3,R/H
103415,INTAKE GASKET,LEAKS,,4,L/H
103416,INTAKE TUBE GASKET,LEAKING,,2,
103417,INTAKE GASKET,LEAKING,,2,
103418,INTAKE,LEAKING,,4 3,R/H
103419,INTAKE,LEAKING,,4 3 2,L/H
103420,ENG CYL INTAKE,LEAKS,,2,
103421,FWD BLACK ENG SEAL,WORN,,,
103422,AFT BAFFLE SUPPORT BRACKET,MISSING,SCREW,3,
103423,,BROKEN,,4 2,
103424,,STUCK,VALVE W/ SLIGHT DROP IN RPM. IN CRUISE FLIGH,,
103425,,STUCK,VALVE W/ SLIGHT DROP IN RPM. IN CRUISE FLIGH,,
103426,,LOOSE,,3,
103427,INTAKE,LEAKING,,2,
103428,ROCKER COVER,LEAKING,,3,
103429,INTAKE GASKET,LEAKING,,4,
103430,INTAKE GASKET,LEAKS,,4,
103431,BAFFLING CONNECTING ROD,BROKEN,,,R/H
103432,INTAKE GASKET,LEAKING,,3,
103433,,,,,
103434,INTAKE GASKET,LEAKING,,3,
103435,BOTH BAFFLE PLUG,WORN,,,
103436,INTAKE GASKET,LEAKING,,4 3 2,
103437,ROCKER GASKET,LEAKING,,4 2,
103438,,,,,
103439,INTAKE GASKET,LEAKING,,4 3,
103440,INTAKE GASKET,LEAKING,(L/H ENGINE),4 2,
103441,ROCKER GASKET,LEAKING,,1,L/H
103442,ROCKER COVER GASKET,LEAKING,(R/H ENGINE),4 3,
103443,INTAKE GASKET,LEAKING,,4 3,L/H
103444,INTAKE GASKET,LEAKING,,4 2,R/H
103445,AFT BAFFLE,WORN,,3,
103446,,OIL LEAKING,"AT CYLINDER BASE, LOWER AFT CORNER",1,
103447,,,,,
103448,,,,,
103449,INTAKE,LEAKING,,2,
103450,,,,,
103451,,,,,
103452,,,,,
103453,SCREW,MISSING,"I/B OF OIL COOLER, FOR ENGINE BAFFLE",,
103454,,,,,
103455,,,,,
103456,INTAKE GASKET,LEAKING,,2,
103457,ROCKER COVER GASKET,LEAKING,,1,
103458,FRONT ENGINE OIL SEAL,LEAKING,,,
103459,FRONT ENGINE OIL SEAL,LEAKING,,,
103460,ENGINE,NEEDS,TO BE FOGGED,,
103461,ENGINE,NEEDS,TO BE FOGGED,,
103462,ENGINE,NEEDS,TO BE FOGGED,,
103463,ENGINE,NEEDS,TO BE FOGGED,,
103464,,,,,
103465,INTAKE,LEAKING,,1,R/H
103466,ENGINE BAFFLE,CRACKED,"AFT OF #3 CYL, L/H ENG",,
103467,INTAKE GASKET,LEAKING,,4 3,R/H
103468,ROCKER COVER GASKET,LEAKING,,4,R/H
103469,,COMPRESSION,LOW COMPRESSION,3,R/H
103470,INTAKE,LEAKING,,2,
103471,ROCKER COVER,LEAKING,,3,
103472,ROCKER COVER GASKET,LEAKING,,4,
103473,INTAKE GASKET,LEAKING,,1,
103474,INTAKE GASKET,LEAKING,,2,
103475,INTAKE,LEAKING,,4 2,
103476,ROCKER COVER,LEAKING,,4 3 2,
103477,INTAKE GASKET,LEAKING,,4,
103478,,COMPRESSION,COMPRESSION ON #3 CYL,,
103479,INTAKE GASKET,LEAKING,,4 3 2 1,
103480,,LEAKING,,1,
103481,BAFFLE PLUG,DAMAGED,,3,
103482,,BROKEN,,3,
103483,ROCKER COVER,LEAKING,,4 3,
103484,ROCKER COVER,LEAKING,,4 3,
103485,INTAKE GASKET,TORN,AND #4,2,
103486,ROCKER GASKET,LEAKING,,2 1,
103487,,,,,
103488,,NEED,ED,,
103489,INTAKE,LEAKING,,3,
103490,,,,,
103491,INTAKE TUBE,LEAKING,AT FLEXIBLE TUBE CONNECTION,4 2,
103492,INDUCTION TUBE GASKET,LEAKING,,3 2,
103493,INTAKE,LEAKING,,3,L/H
103494,ROCKER COVER,LEAKING,,1,R/H
103495,INTAKE,LEAKING,,4 3 2,R/H
103496,,,,,
103497,,,,,
103498,FWD BAFFLE SEAL,TORN,LOOSE FROM FASTENER,1,
103499,INTAKE GASKET,LEAKING,,4 3 2 1,
103500,,,,,
103501,INTAKE TUBE GASKET,LEAKING,,3,L/H
103502,,,,,
103503,INTAKE GASKET,LEAKING,,4,
103504,,WORN,IN IT,1,
103505,ROCKER COVER,LEAKING,,1,
103506,INTAKE GASKET,LEAKING,,3 2,
103507,,,,,
103508,INTAKE,LEAKING,,4,
103509,,,,,
103510,,LEAK,,2,
103511,FWD LWR BAFFLE BLACK SEAL,WORN,FROM INTAKE,,
103512,BAFFLE PLUG,WORN,OUT,,
103513,INTAKE GASKET,LEAKING,,2,
103514,INTAKE TUBE GASKET,LEAKING,,4,
103515,INTAKE GASKET,LEAKING,,3 2,L/H
103516,INTAKE GASKET,LEAKING,,4 3,R/H
103517,ROCKER COVER,MISSING,SCREW,4,
103518,SCREW,LOOSE,FOR BAFFLE BEHIND OIL DIPSTICK TUBE,1,
103519,BAFFLE PLUG,LOOSE,,,R/H
103520,INTAKE GASKET,LEAKING,,4,
103521,INTAKE,LEAKING,,4,
103522,INTAKE GASKET,LEAKING,,4,L/H
103523,INTAKE GASKET,LEAKING,,1,R/H
103524,INTAKE GASKET,LEAKING,,1,
103525,ROCKER GASKET,LEAKING,,4 2,
103526,INTAKE,LEAKING,,4 3,
103527,,COMPRESSION,LOW COMPRESSION (30/80),1,
103528,,COMPRESSION,LOW COMPRESSION (30/80),1,
103529,,COMPRESSION,LOW COMPRESSION (30/80),1,
103530,,COMPRESSION,LOW COMPRESSION (30/80),1,
103531,,COMPRESSION,LOW COMPRESSION (30/80),1,
103532,INTAKE GASKET,LEAKING,,2,
103533,4 INTAKE GASKET,LEAKING,,3 2 1,
103534,,,,,
103535,,BROKEN,,4 2,
103536,AFT BAFFLE,CRACKED,,4,R/H
103537,INTAKE GASKET,LEAKING,,4 2,R/H
103538,INTAKE GASKET,LEAKING,,4 3 2 1,L/H
103539,,,,,
103540,INTAKE GASKET,LEAKING,,4,L/H
103541,INTAKE GASKET,LEAKING,,1,R/H
103542,INTAKE,LEAKING,,4 3,R/H
103543,,,,,
103544,INTAKE,LEAKING,,3 2,L/H
103545,ROCKER COVER,LEAKING,,3 1,R/H
103546,INTAKE,LEAKING,,4,R/H
103547,ROCKER COVER,LEAKING,,3 1,R/H
103548,INTAKE,LEAKING,,3 2,L/H
103549,,COMPRESSION,NO COMPRESSION,4,L/H
103550,,COMPRESSION,NO COMPRESSION,4,L/H
103551,,COMPRESSION,NO COMPRESSION,4,L/H
103552,INTAKE GASKET,LEAKING,,2,
103553,ROCKER GASKET,LEAKING,,4,
103554,INTAKE,LEAKING,,2,
103555,,,,,
103556,INTAKE GASKET,LEAKING,,4 3 2 1,
103557,,,,,
103558,INTAKE GASKET,LEAKING,,4,R/H
103559,,LOOSE,,3,R/H
103560,ENGINE BAFFLE,CRACKED,"BEHIND #3 CYL, R/H ENGINE",,
103561,INTAKE GASKET,LEAKING,,4,
103562,ROCKER COVER GASKET,LEAKING,,4 3,
103563,SCREW,MISSING,OUTER CYLINDER BAFFLING,1,
103564,AFT CRANKCASE SPIN BOLT,MISSING,NUT,,
103565,SIDE BAFFLE PLUG,LOOSE,W/ TABS BROKEN,,R/H
103566,,,,,
103567,REAR BAFFLE MOUNTING SCREW,LOOSE,,,R/H
103568,INDUCTION TUBE GASKET,LEAKING,,1,
103569,ROCKER COVER GASKET,LEAKING,,4 3 2,
103570,,LEAKING,OIL THROUGH 2 MIDDLE THRO,,
103571,,,,,
103572,,,,,
103573,INTAKE GASKET,LEAKING,,3 2,L/H
103574,BAFFLE,LOOSE,HARDWARE ON R/H ENGINE,4,
103575,INTAKE,LEAKING,,4 2,R/H
103576,RUBBER BAFFLE SEAL,TORN,,4,R/H
103577,INTAKE,LEAKING,,4 3 2,L/H
103578,INTAKE,LEAKING,,2,
103579,ROCKER COVER GASKET,LEAKING,,4,
103580,,,,,
103581,,,,,
103582,,,,,
103583,,,,,
103584,INTAKE GASKET,LEAKING,,4 1,
103585,ROCKER COVER GASKET,LEAKING,,3 2,
103586,INTAKE GASKET,LEAKING,,2 1,
103587,,,,,
103588,ROCKER GASKET,LEAKING,,1,
103589,INTAKE GASKET,LEAKING,,1,
103590,ROCKER COVER GASKET,LEAKING,,1,
103591,,,,,
103592,INTAKE GASKET,LEAKING,,2,
103593,INTAKE GASKET,LEAKING,,2,
103594,INTAKE,LEAKING,,2,
103595,INTAKE,LEAKS,,2,
103596,INTAKE GASKET,LEAKING,,4 2,
103597,ROCKER COVER GASKET,LEAKING,,4 3,
103598,BAFFLE,CRACKED,,,L/H
103599,ROCKER COVER,LEAKING,,3,R/H
103600,INTAKE GASKET,LEAKING,,4,R/H
103601,INTAKE GASKET,LEAKING,,4 3 2,L/H
103602,INTAKE GASKET,LEAKING,,2,
103603,ROCKER COVER GASKET,LEAKING,,3,
103604,INTAKE GASKET,LEAKING,,2,
103605,INTAKE GASKET,LEAKING,,4,L/H
103606,SIDE BAFFLE,MISSING,A BOLT,4,L/H
103607,ROCKER COVER GASKET,LEAKING,,4,R/H
103608,ROCKER COVER GASKET,LEAKING,,4 2,L/H
103609,ROCKER COVER GASKET,LEAKING,,3,
103610,,,,,
103611,INTAKE GASKET,LEAKS,,3,L/H
103612,INTAKE GASKET,LEAKING,,4 2,R/H
103613,,,,,
103614,INTAKE TUBE GASKET,LEAKING,,4 3 2,L/H
103615,,BROKEN,OFF,,
103616,INTAKE GASKET,LEAKING,,4 2,
103617,ROCKER BOX COVER SCREW,LOOSE,,,
103618,HARNESS CLAMP,BROKEN,,4,
103619,ROCKER COVER GASKET,LEAKING,,4 3,
103620,,,,,
103621,INTAKE GASKET,LEAKING,,4,
103622,SCREW,MISSING,BAFFLE BRACKET,3,
103623,,BROKEN,COVER SCREW ON GROUND,,
103624,,,,,
103625,INTAKE GASKET,LEAKING,,2 1,
103626,ROCKER GASKET,LEAKING,,4,
103627,BAFFLE SEAL,NEEDS,TO BE SECURED,2,
103628,FWD BAFFLE,CRACKED,,1,
103629,INTAKE GASKET,LEAKING,,4,
103630,,,,,
103631,,,,,
103632,,,,,
103633,,,,,
103634,PUSH ROD TUBE ADEL CLAMP,WORN,RUBBER,3,
103635,INTAKE GASKET,LEAKING,,3,
103636,ROCKER COVER GASKET,LEAKING,,4,
103637,,,,,
103638,,,,,
103639,,,,,
103640,INTAKE GASKET,LEAKING,,4,
103641,BAFFLE,CRACKED,,,L/H REAR
103642,INTAKE GASKET,LEAKING,,2,
103643,ROCKER COVER GASKET,LEAKING,,4 2,
103644,ENGINE BAFFLE,CRACKED,ABOVE #1 CYL,,
