id,part,action,cylinders,details,engine
103142,ROCKER COVER GASKETS,REMOVED,,REPLACED,
103143,GASKET,REMOVED,,REPLACED,
103144,BAFFLE SPRING,REMOVED,,REPLACED,
103145,INTAKE GASKETS,REMOVED,,REPLACED,
103146,INTAKE GASKETS,INSTALLED,"[1, 4]",NEW,
103147,INTAKE GASKET,REMOVED,,REPLACED,
103148,ROCKER COVER GASKET,REMOVED,,REPLACED,
103149,,TIGHTENED,,DRAIN LINE,
103150,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
103151,MOUNTING BRACKET,REATTACHED,,TO ENGINE BAFFLE,
103152,,INSTALLED,,BOLT WHERE NEEDED,
103153,ROCKER COVER GASKET,REMOVED,,REPLACED,
103154,INTAKE GASKET,REMOVED,,REPLACED,
103155,,REPLACED,,BOTH GASKETS,
103156,,TIGHTENED,,CLAMPS ON ROCKER DRAIN LINE,
103157,,TIGHTENED,,HARDWARED ON OIL COOLER,
103158,,REMOVED,,WASHER & INSTALLED CORRECT HARDWARE TO PREVENT,
103159,,REMOVED,,"BOLTS, CLEANED BOLT HOLES, RESEALED BOLTS & TOR",
103160,INTAKE GASKET,REMOVED,,REPLACED,
103161,ROCKER COVER GASKET,REMOVED,,REPLACED,
103162,INTAKE GASKETS,REMOVED,,REPLACED,
103163,ROCKER COVER GASKETS,REMOVED,,REPLACED,
103164,ROCKER BOX COVER GASKET,INSTALLED,,NEW,
103165,,PERFORMED,,"TEST, RUN OUT BELOW .001",
103166,GASKET,REPLACED,,,
103167,OIL FILLER TUBE,REINSTALLED,,AFTER BAFFLE INSTALLATION,
103168,,REMOVED,,"BAFFLE, INSTALLED NEW RIVETS & REINSTALLED BAFF",
103169,,INSTALLED,,RTV IN WORN AREAS,
103170,,RECEIVED,,"NEW PISTON, MEASUR",
103171,,FITTED,[3],"NEW EXHAUST VALVE TO #3 CYL, FITTED INTAKE VALVE",
103172,,FITTED,[4],"NEW EXHAUST VALVE TO #4 CYL, FITTED INTAKE VALVE",
103173,INTAKE GASKETS,REMOVED,,REPLACED,
103174,INTAKE GASKET,REMOVED,[4],REPLACED,
103175,,LEAK CK,,OK,
103176,,REMOVED,,PROP & RING GEAR. REMOVED FRONT CRANKSHAFT OIL,
103177,INTAKE GASKETS,REMOVED,"[2, 3]",REPLACED,
103178,INTAKE GASKET,REMOVED,[2],REPLACED,
103179,GASKET,REPLACED,,,
103180,GASKET,REPLACED,,,
103181,CYLINDER ASSY,REPLACED,[1],"NEW PISTON, RIN",
103182,GASKET,REPLACED,,,
103183,,INSTALLED,,BOTH BUTTONS,
103184,,INSTALLED,,RTV IN WORN AREAS,
103185,INTAKE GASKET,REPLACED,[2],,
103186,GASKET,REPLACED,,,
103187,,STOP DRILLED,,CRACK,
103188,INTAKE GASKETS,REMOVED & REPLACED,,,
103189,BAFFLE,REMOVED & INSTALLED,,NEW BAFFLE,
103190,BAFFLE,REMOVED & INSTALLED,,NEW BAFFLE,
103191,,TIGHTENED,,ALL SCREWS,
103192,GASKETS,REMOVED & REPLACED,,,
103193,INTERCYLINDER BAFFLE,INSTALLED,,,
103194,,REMOVED,,"NECESSARY BAFFLING, LINES, TUBES, HARDWARE TO F",
103195,,REMOVED,,PISTON FROM ROD. PREPARED NEW PISTON FOR INSTA,
103196,,COMPLETED,,"CYL INSTALLATION. INSTALLED ROCKER COVER, INJ",
103197,,REPLACEMENT DONE,,IAW LYCOMING DIRECT DRIVE,
103198,,REPLACED,,BUTTON,
103199,,INSTALLED,,RTV TO AREAS,
103200,,REPLACED,,TUBE,
103201,,,,GOOD,
103202,,,,GOOD,
103203,BAFFLE SEAL,SECURED,,,
103204,,,,GOOD,
103205,,,,GOOD,
103206,,REMOVED,,REPLACED INTAKE GASKETS,
103207,,REMOVED,,REPLACED INTAKE GASKETS,
103208,,REMOVED,,"CLEANED, SEALED & REINSTALLED BOLT",
103209,,REMOVED,,REPLACED ROCKER COVER GASKETS,
103210,,REATTACHED,,LOWER COWL SEAL,
103211,,INSTALLED,,PATCH MADE OF LIKE MATERIAL,
103212,,REMOVED,,BRACKET. STARTED CREATING PATCH,
103213,,,,ACCEPTABLE,
103214,,REMOVED,,REPLACED INTAKE GASKET,
103215,,REMOVED,,CORK GASKET & REPLACED W/ SILICONE GASKET,
103216,,REMOVED,,CORK GASKET & REPLACED W/ SILICONE GASKET,
103217,,REMOVED,,REPLACED GASKETS,
103218,,REMOVED,,REPLACED INTAKE GASKETS,
103219,,REMOVED,,REPLACED INTAKE GASKET,
103220,,REMOVED,,REPLACED GASKET,
103221,BAFFLE PLUGS,REPLACED,,,L
103222,ROCKER COVER GASKET,REMOVED,,,
103223,INTAKE GASKETS,REMOVED,,,L
103224,INTAKE GASKETS,REMOVED,,,R
103225,INTAKE GASKET,REMOVED,[4],,
103226,BAFFLE TIE ROD,REMOVED,,,R
103227,GASKET,REMOVED,,,
103228,INTAKE GASKETS,REMOVED,,,
103229,BAFFLING,STOP DRILLED,[1],,
103230,INTAKE GASKET,REMOVED,[4],,
103231,INTAKE GASKETS,REPLACED,,,
103232,,FITTINGS,,OK,
103233,,INSTALLED,,NEW,
103234,BAFFLE BUTTONS,REMOVED,,,
103235,OIL COOLER LINE,REROUTED,,,
103236,BAFFLE,REROUTED,,,
103237,,INSTALLED,,NEW,
103238,BAFFLE TIE WIRE,REMOVED,,,R
103239,ENGINE AFT SLING POINT BOLT,INSTALLED,,,
103240,,REMOVED,,FROM TOP SIDE,L
103241,,REMOVED,[2],EXTRA SPARK PLUG,
103242,,STOP DRILLED,,CRACK,
103243,,REMOVED,,REPLACED INTAKE GASKET,
103244,,REMOVED,,REPLACED BAFFLE PLUG,
103245,,REMOVED,,REPLACED GASKET,
103246,,REVIEWED,,FDM DATA. FOUND OVERSPEED TO BE W/IN LIMITS PE,
103247,,REMOVED,,REPLACED INTAKE GASKETS,
103248,,REMOVED,,REPLACED ROCKER COVERS GASKETS,
103249,,REMOVED,,REPLACED INTAKE GASKET,
103250,,REPLACED,,INTAKE GASKET & LOCK WASHERS,
103251,,REMOVED,,REPLACED ROD,
103252,,REMOVED,[4],REPLACED INTAKE GASKET,
103253,,REMOVED,[1],REPLACED INTAKE GASKET,
103254,,STOP DRILLED,,CRACK,
103255,,REMOVED,,REPLACED ROCKER GASKETS,
103256,,REMOVED,"[2, 4]",REPLACED INTAKE GASKETS,
103257,,TIGHTENED,,BAFFLE & RESEALED W/ RTV,
103258,,STOP DRILLED,,CRACK & INSTALLED DOUBLER PLATE IN REFEREN,
103259,,STOP DRILLED,,CRACK & RIVETED DOUBLER PLATE IN REFERENCE,
103260,,REMOVED,,REPLACED ROCKER COVER GASKET,
103261,ROCKER COVER GASKETS,REMOVED,,REPLACED,
103262,BAFFLE PLUGS,REPLACED,,,
103263,INTAKE GASKET,REMOVED,,REPLACED,
103264,INTAKE GASKETS,REMOVED,,REPLACED,
103265,ROCKER COVER GASKETS,REMOVED,,REPLACED,
103266,INTAKE GASKETS,REMOVED,,REPLACED,
103267,BAFFLE SEAL,REATTACTED,,,
103268,BAFFLE,REMOVED,,REATTACTED ATTACH BRACKET & RE,R
103269,GASKET,REPLACED,,,
103270,BAFFLE SEALS,REPLACED,,,
103271,,STOP DRILLED,,CRACK,
103272,,STOP DRILLED,,"CRACK, NO FURTHER DEFECTS NOTED",
103273,,STOP DRILLED,,"CRACK, NO FURTHER DEFECTS NOTED",
103274,INTAKE GASKETS,REMOVED,,REPLACED,
103275,,REPLACED,,BOTH PLUGS,
103276,,INSTALLED,,BLACK RTV IN AREAS WORN,
103277,,PERFORMED,,ENGINE RUN UP. NO ROUGHNESS NOTED THROUGH ENT,
103278,,INSTALLED,,NEW SCREW,
103279,ROCKER GASKETS,REMOVED,,REPLACED,R
103280,INTAKE GASKETS,REMOVED,"[2, 3, 4]",REPLACED,R
103281,INTAKE GASKETS,REPLACED,"[2, 4]",,L
103282,ROCKER COVERS,REPLACED,"[3, 4]",,L
103283,,ADJUSTED,,OK,
103284,INTAKE GASKETS,REPLACED,,,
103285,,RESEALED,,,
103286,ROCKER COVER GASK,REPLACED,"[2, 4]",,R
103287,BAFFLE CONNECTING ROD,TIGHTENED,,,
103288,INTAKE GASKETS,REPLACED,,,
103289,BAFFLE PLUGS,REPLACED,,,
103290,BAFFLE PLUG PATCH,INSTALLED,,,
103291,BAFFLE,INSTALLED,,,
103292,BAFFLE PATCH,REMOVED,,,
103294,BAFFLE MATERIAL,REPLACED,,,
103295,INTAKE GASKETS,REPLACED,,,
103296,BRACKET,REPLACED,,,
103297,INTAKE GASKETS,REPLACED,,,
103298,,DISCONNECTED,,,
103299,EXHAUST VALVE,REPLACED,,,
103300,,INSTALLED,,,
103301,ROCKER COVER GASKETS,REPLACED,,,L
103302,,CLEANED,,,
103303,INTAKE GASKETS,REPLACED,"[1, 2, 3, 4]",,L
103304,,INSTALLED,,QUICK DRAIN,
103305,,INSTALLED,,QUICK DRAIN,
103306,CYL INTAKE GASKETS,REPLACED,,,
103307,INTAKE GASKET,REPLACED,[1],LEAKY,
103308,,SECURED,,,
103309,,REMOVED,,BRACKET,
103310,,REMOVED,,SIMULATION,
103311,BAFFLE PLUGS,REPLACED,,NEW,
103312,ROCKER COVER GASKET,REPLACED,[2],,
103313,,INSTALLED,,CHAFE WRAP & APPLIED SILICONE TO AREA. NO DAM,
103314,,STOP DRILLED,,CRACK,
103315,GASKETS,REPLACED,"[2, 3]",,
103316,,REPLACED,,GASKETS,
103317,,REPLACED,,BUTTONS,
103318,,REMOVED,,"ROCKER COVERS, CLEANED COVERS & INSTALLED NEW G",
103319,,REMOVED,,ROCKER COVERS & CLEANED OLD GASKET MATERIAL FRO,
103320,,RESECURED,,LOOSE BAFFLE SEAL,
103321,WIRING,RESECURED,,,
103322,,,,CK GOOD,
103323,EGT,REMOVED & REPLACED,[1],OPS CK GOOD,
103324,ROCKER COVER GASKET,REMOVED & REPLACED,,,
103325,CHT PROBE,REMOVED & REPLACED,[1],,
103326,INTAKE GASKETS,REMOVED & REPLACED,,,
103327,,,,STARTED ENGINE,
103328,INTAKE GASKETS,REMOVED & REPLACED,,,
103329,,,,NO LEAK FROM INTAKE TUBE FOUND,
103330,GASKETS,REMOVED & REPLACED,,,
103331,GASKET,REMOVED & REPLACED,,,
103332,BAFFLE SEAL,REATTACTED,,,
103333,GASKET,REPLACED,,,
103334,,INSTALLED,,SCREWS,
103335,INTAKE GASKET,REMOVED & REPLACED,,,
103336,BAFFLE MATERIAL,RESECURED,,,
103337,INTAKE GASKET,REMOVED & REPLACED,[2],,
103338,ROCKER COVER GASKETS,REMOVED & REPLACED,"[1, 4]",,
103339,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
103340,INTAKE GASKET,REMOVED & REPLACED,[3],,
103341,INTAKE GASKET,REMOVED,[2],REPLACED,
103342,,STOP,,DRILLED CRACK,
103343,INTAKE GASKET,REMOVED,,REPLACED,
103344,,REMOVED,,REPLACED ROCKER COVERS,
103345,,REMOVED,,REPLACED GASKETS,
103346,,INSTALLED,,NEW BAFFLE PLUG,
103347,,REMOVED,,REPLACED GASKET,
103348,INTAKE GASKET,REMOVED,,REPLACED,
103349,,REPLACED,,MISSING SCREW,
103350,,INSTALLED,,RTV TO AREAS,
103351,INTAKE GASKET,REPLACED,[3],,
103352,BAFFLE PLUG,REPLACED,,RIGHT,R
103353,,STARTED,,A/C,
103354,INTAKE GASKET,INSTALLED,[3],NEW,
103355,,RETORQUED,,BACK BONE BOLTS,
103356,,TIGHTENED,,OIL FILLER TUBE & SAFETIED,
103357,,REMOVED,,REPLACED INTER BAFFLE ROD FASTENER,
103358,,REMOVED,,"BAFFLE, REMOVED RIVETS & INSTALLED NEW HARDWARE",
103359,INTAKE GASKET,REMOVED,[4],REPLACED,
103360,,REMOVED,"[1, 3]",REPLACED SPRING CONNECTOR BETWEEN,
103361,ENG BAFFLE,STOP DRILLED,[3],,R
103362,,APPLIED,,"SILICONE SEALANT TO SEAL, NO DAMAGE NOTED",
103363,,REPLACED,,BOLT,
103364,ROCKER COVER GASKET,REMOVED & REPLACED,[4],,
103365,INTAKE GASKETS,REMOVED & REPLACED,"[1, 2]",,
103366,GASKET,REMOVED & REPLACED,,,
103367,ROCKER COVER GASKET,REMOVED & REPLACED,,,
103368,ROCKER COVER GASKET,REMOVED & REPLACED,[4],,
103369,,RESECURED,,ALL ROCKER COVER SCREWS,
103370,,DRILLED,,NEW TIE ROD HOLE IN AFT BAFFLE. INSTALLED S,R
103371,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
103372,,SEALED UP,,AREAS W/ RTV,
103373,,STOP DRILLED,,"CRACKS, FABRICATED PATCH & RIVETED IAW CES",
103374,ROCKER GASKETS,REMOVED & REPLACED,,,
103375,,TIGHTENED,,ROCKER DRAIN LINE CLAMPS,
103376,GASKET,REPLACED,,,
103377,GASKETS,REMOVED & REPLACED,,,
103378,GASKET,REMOVED & REPLACED,,,
103379,GASKET,REMOVED & REPLACED,,,
103380,ROCKER COVER GASKETS,REMOVED & REPLACED,,,
103381,BAFFLE SEAL,RESECURED,,,
103382,GASKET,REMOVED,,REPLACED,
103383,BAFFLE,PATCHED,,W/ SILICONE SEALANT,
103384,,,,ALL CHECKS GOOD,
103385,,,,INSTALLED IN,
103386,,,,IAW LYCOMING O,
103387,,,,IAW LYCOMING O,
103388,,,,IAW LYCOMING OPS MANUAL,
103389,,,,IAW LYCOMING OPS MANUAL,
103390,,,,OPS CK GOOD,
103391,,,,INSTALLED IN,
103392,,,,IAW LYCOMING O,
103393,INTAKE GASKET,REMOVED,,REPLACED,
103394,FASTENER,INSTALLED,,,
103395,,STOP DRILLED,,CRACK,
103396,BAFFLE ROD,INSTALLED,,,
103397,RIVNUT,REMOVED,,REPLACED,
103398,BAFF,REMOVED,,FABRICATED & INSTALLED NEW,
103399,,STOP DRILLED,,CRACK & FABRICATED PATCH USING LIKE MATERI,
103400,,STOP DRILLED,,"CRACK, FABRICATED PATCH OF LIKE MATERIAL",
103401,,STOPPED,,DRILLED CRACKS & FABRICATED PATCHES OF LIKE MATERI,
103402,,REMOVED,,REPLACED GASKET,
103403,,REMOVED,,REPLACED GASKETS,
103404,,REMOVED,,REPLACED INTAKE GASKET,
103405,,REMOVED,,REPLACED ROCKER COVER GASKETS,
103406,,REMOVED,,REPLACED BAFFLE CONNECTING SPRING FOR #2 & 4,
103407,INTAKE GASKET,REPLACED,[2],,
103408,,INSTALLED,,NEW SCREW,
103409,INDUCTION TUBE GASKET,INSTALLED,[4],NEW,
103410,ROCKER COVER GASKET,REMOVED,[3],REPLACED,
103411,,REMOVED,,REPLACED INTAKE GASKET,
103412,,REPLACED,,GASKET,
103413,,REPLACED,,GASKETS,
103414,,REPLACED,,GASKET,
103415,,REPLACED,,GASKET,
103416,INTAKE TUBE GASKET,REMOVED,[2],REPLACED,
103417,INTAKE GASKET,REPLACED,[2],,
103418,,REMOVED,,REPLACED INTAKE GASKETS,
103419,,REMOVED,,REPLACED INTAKE GASKETS,
103420,,REPLACED,,GASKET,
103421,,INSTALLED,,RTV SILICONE IN WORN AREAS,
103422,,INSTALLED,,MISSING BRACKET SCREW,
103423,,REMOVED,,& REPLACED FASTENER,
103424,,REMOVED,,& REPLACED BAFFLES AS REQUIRED & DISCONNECTED OIL LINES TO,
103425,,PERFORMED,"[2, 4]","LYCOMING ON CYL #2, 4. FOUND #4 CYL T",
103426,,INSTALLED,,INTAKE TUBE FROM INVENTORY ENGINE.,
103427,,REMOVED,[2],& REPLACED INTAKE GASKET,
103428,,REMOVED,[3],& REPLACED ROCKER COVER GASKET,
103429,,REMOVED,,& REPLACED GASKET,
103430,,REMOVED,,& REPLACED INTAKE GASKET,
103431,,REMOVED,,& REPLACED ROD,
103432,,REMOVED,,& REPLACED INTAKE GASKET,
103433,,REMOVED,,& REPLACED CONNECTING ROD,
103434,,REMOVED,,& REPLACED INTAKE GASKET,
103435,,REPLACED,,BOTH BAFFLE PLUGS,
103436,,REMOVED,,& REPLACED INTAKE GASKETS,
103437,,REMOVED,,& REPLACED ROCKER COVER GASKETS. LEAK CK GOOD,
103438,,REMOVED,[3],& REPLACED EXHAUST PUSH ROD SEALS. LEAK CK G,
103439,,REMOVED,,& REPLACED GASKETS,
103440,,INSTALLED,,NEW INTAKE GASKETS,
103441,ROCKER BOX COVER GASKET,INSTALLED,,NEW,
103442,ROCKER BOX COVER GASKETS,INSTALLED,"[3, 4]",NEW,
103443,INTAKE GASKETS,REMOVED,,REPLACED,
103444,INTAKE GASKETS,REMOVED,,REPLACED,
103445,BAFFLE,REPAIRED,,FABRICATED PATCH OF LIKE MATERIAL & RI,
103446,ENGINE,WASHED,,"RAN A/C, LEAK CK GOOD",
103447,,REMOVED,,DUCT TAPE,
103448,,REMOVED,,WRENCH AND TYRAP,
103449,INTAKE GASKET,REMOVED,[2],REPLACED,
103450,,INSTALLED,,RTV IN AREAS,
103451,,LOOSENED,,OIL COOLER & OIL FILLER TUBE,
103452,ENGINE BAFFLE,REMOVED,,DRILLED HOLES IN ENGINE BAFFLE &,
103453,,REPLACED,,SCREW,
103454,,RAN,,"UP A/C, UNABLE TO DUPLICATE DISCREPANCY. OPS CK OK",
103455,INJECTOR,REMOVED,,ULTRASONICALLY CLEANED. REINSTALL,
103456,INTAKE GASKET,REMOVED,,REPLACED,
103457,,REMOVED,,GASKET,
103458,,REMOVED,,"PROP ASSY, LOOSENED ALTERNATOR BELT TENSION & R",
103459,,INSTALLED,,CRANKCASE SEAL & SPRING IAW LYCOMING,
103460,,FOGGED,,ENGINE,
103461,,DE-PRESERVED,,,
103462,,PERFORMED,,CORROSION PREVENTION,
103463,,PERFORMED,,CORROSION PREVENTION,
103464,,REMOVED,,REPLACED GASKET,
103465,INTAKE GASKET,REMOVED,[1],REPLACED,R
103466,,STOP DRILLED,,CRACKS,
103467,,INSTALLED,,NEW L/H & R/H INTAKE GASKETS,
103468,,INSTALLED,,NEW #4 ROCKER BOX COVER GASKET,
103469,,REMOVED,,"ROCKER COVER, STAKED VALVES. COMPRESSION 68/80",
103470,INTAKE GASKET,REMOVED,[2],REPLACED,
103471,ROCKER COVER GASKET,REMOVED,,REPLACED,
103472,,REMOVED,,REPLACED GASKET,
103473,INTAKE GASKET,REMOVED,,REPLACED,
103474,INTAKE GASKET,REMOVED,,REPLACED,
103475,INTAKE GASKETS,REPLACED,"[2, 4]",,
103476,ROCKER COVER GASKETS,REPLACED,,,
103477,INTAKE GASKET,REMOVED,[4],REPLACED,
103478,,RAN,[3],COMPRESSION TEST,
103479,,REPLACED,,"INTAKE GASKETS, LEAK CK GOOD",
103480,,TIGHTENED,[1],"OIL RETURN LINE CLAMPS, LEAK CK GOOD",
103481,BAFFLE PLUG,REMOVED,,REPLACED,
103482,,INSTALLED,,NEW,
103484,,REMOVED,"[3, 4]",REPLACED GASKETS,
103485,,REMOVED,,,
103486,ROCKER COVER GASKETS,REMOVED,,REPLACED,
103487,BAFFLE,REPLACED,,NEW,
103489,,REMOVED,[3],REPLACED INTAKE GASKET,
103490,,REPAIRED,,W/ RIVETED DOUBLER & REPLACED BAFFLE PLUG,
103492,INDUCTION TUBE GASKETS,INSTALLED,,NEW,
103493,INTAKE GASKET,REMOVED,,REPLACED,
103494,ROCKER COVER,REMOVED,,REPLACED,
103495,,REPLACED,,INTAKE GASKETS,R
103496,,REMOVED,,,
103498,BAFFLE SEAL FASTENER,REMOVED,,REPLACED,
103499,,REPLACED,,W/ NEW INTAKE GASKETS,
103500,BAFFLE PLUGS,REMOVED,,REPLACED W/ NEW,
103501,INTAKE GASKET,REMOVED,,REPLACED,
103502,GASKET,REPLACED,,,
103503,GASKET,REMOVED,,REPLACED,
103504,,REPAIRED,,W/ HIGH TEMP SILICONE,
103505,,REMOVED,,CLEANED & REPLACED W/ NE GASKET,
103506,INTAKE GASKETS,REMOVED,,REPLACED W/ NEW,
103507,BAFFLE PLUGS,REMOVED,,REPLACED W/ NEW,
103508,INTAKE GASKET,REMOVED,,REPLACED,
103509,,PERFORMED,,RUN UP ON ENGINE & NOTED NORMAL INDICATIONS &,
103510,INTAKE GASKET,INSTALLED,,NEW,
103511,,INSTALLED,,RTV IN WORN AREAS,
103512,,REMOVED,,REPLACED PLUGS,
103513,INTAKE GASKET,REMOVED,,REPLACED,
103514,#4 INTAKE GASKET,INSTALLED,,NEW,
103515,INTAKE GASKETS,REMOVED,"[2, 3]",REPLACED,L
103516,INTAKE GASKETS,REMOVED,"[3, 4]",REPLACED,R
103517,,INSTALLED,,MISSING SCREW,
103518,,TIGHTENED,[3],LOOSE AFT BAFFLE SCREW,L
103519,BAFFLE PLUG,INSTALLED,,NEW,
103520,,REMOVED,,REPLACED W/ NEW GASKET,
103521,INTAKE GASKET,REMOVED,,REPLACED,
103522,GASKET,REMOVED,,REPLACED,
103523,GASKET,REMOVED,,REPLACED,
103524,GASKET,INSTALLED,,NEW,
103525,ROCKER BOX COVER GASKETS,INSTALLED,,NEW,
103526,INTAKE GASKETS,REPLACED,,,
103527,,RAN,,"A/C, OPS & LEAK CK GOOD",
103528,,SERVICED,,W/ 8 QTS OF MINERAL OIL,
103529,ROCKER COVER,REMOVED,,STAKED VALVE W/ NO EFFECT,
103530,,REMOVED,,"BAFFLING, EXHAUST, ALTERNATOR, AIR INTAKE ELBOW",
103531,,REINSTALLED,,"EXHAUST, BAFFLING, AIR INTAKE ELBOW, #1 INT",
103532,INTAKE GASKET,REMOVED,[2],REPLACED,
103533,INTAKE GASKETS,REMOVED,,REPLACED,
103534,BAFFLE PLUGS,REMOVED,,REPLACED W/ NEW,
103535,,INSTALLED,,NEW STANDOFFS,
103536,,STOP DRILLED,,CRACK,
103537,,REMOVED,,REPLACED W/ NEW GASKETS,
103538,,REMOVED,,REPLACED W/ NEW GASKETS,
103539,,MARKED,,ENGINE & CYLINDERS,
103540,GASKET,REMOVED,,REPLACED W/ NEW,
103541,GASKET,REMOVED,,NEW,
103542,INTAKE GASKETS,REMOVED,,,
103544,GASKET,REPLACED,[3],,
103546,GASKET,REPLACED,,CLEANED AREA,
103547,,REPLACED,,BOTH GASKETS,
103548,GASKET,REMOVED,[2],NEW,
103550,,REMOVED,[4],,
103551,,COMPLETED REINSTALLATION,[4],,
103554,INTAKE GASKET,REMOVED,[2],,
103556,GASKETS,REMOVED,,NEW,
103557,LOCK WASHER,INSTALLED,,NEW,
103558,GASKET,REPLACED,,,
103559,BAFFLE SEAL,REMOVED,,,
103560,,STOP DRILLED,,CRACK,
103561,INTAKE GASKET,REPLACED,[4],,
103562,ROCKER COVER GASKETS,REPLACED,,,
103563,,REPLACED,,MISSING SCREW W/ REQUIRED HARDWARE,
103564,,INSTALLED,,NUT & WASHER. TORQUED,
103565,BAFFLE PLUG,REPLACED,,NEW,
103566,,RAN UP,,ENGINE TO OPERATING TEMPS. ENGINE IDLE SPEED & M,
103567,,TIGHTENED,,SCREW,
103568,INTAKE GASKET,REPLACED,[1],,
103569,,REPLACED,,GASKETS,
103570,,CLEANED,,BOLTS FROM WHERE OIL WAS LEAKING,
103571,,STOP DRILLED,,CRACK,
103572,,STOP DRILLED,,CRACK,
103573,,REPLACED,,INTAKE GASKETS,
103574,,TIGHTENED,,HARDWARE,
103575,,INSTALLED,,NEW INTAKE GASKETS,
103576,,REATTACTED,,RUBBER BAFFLE SEAL,
103577,,REPLACED,,INTAKE GASKETS,
103578,,REPLACED,,INTAKE GASKET,
103579,,REPLACED,,ROCKER COVER GASKET,
103580,,INSTALLED,,BAFFLE INSP HOLE DOUBLER IAW SE SRM 51,
103581,,,,,
103582,,REPLACED,,NEW,
103583,,INSPECTED,,CK'ED OK,
103584,INTAKE GASKETS,REPLACED,,,
103585,ROCKER COVER GASKETS,REPLACED,,,
103586,INTAKE GASKETS,REPLACED,,,
103587,,INSPECTED,[3],BORESC,
103588,GASKET,REPLACED,,,
103589,INTAKE GASKET,REPLACED,,,
103590,ROCKER COVER GASKET,REPLACED,,,
103591,,STARTED,,,
103592,GASKET,REPLACED,,,
103593,,REPLACED,,NEW GASKET,
103594,INTAKE GASKET,REPLACED,[2],,
103595,,REPLACED,,NEW INTAKE GASKET,
103596,INTAKE GASKETS,REPLACED,,,
103597,ROCKER COVER GASKETS,REPLACED,,,
103598,PATCH FOR SIDE BAFFLE,FABRICATED,,,
103599,,INSTALLED,,NEW GASKET,
103600,,REPLACED,,NEW GASKET,
103601,INTAKE GASKETS,REMOVED,,NEW,
103602,INTAKE GASKET,INSTALLED,[2],NEW,
103603,GASKET,REMOVED,,REPLACED,
103604,INTAKE GASKET,REMOVED,,REPLACED,
103605,GASKET,REMOVED,,REPLACED,
103606,,INSTALLED,,NEW HARDWARE,
103607,GASKET,REMOVED,,REPLACED,
103608,GASKETS,REMOVED,,REPLACED,
103609,GASKET,REMOVED,,CLEANED & INSTALLED NEW,
103610,RIVET,REMOVED,,REPLACED,
103611,GASKET,REMOVED,,CLEANED & INSTALLED NEW,
103612,GASKETS,REMOVED,,REPLACED W/ NEW,
103613,ENGINE BAFFLE SEAL,RESECURED,,R/H FRONT,R
103614,INTAKE GASKETS,REPLACED,"[2, 3, 4]",,L
103615,,INSTALLED,,NEW PLUGS,
103616,INTAKE GASKETS,REMOVED,,REPLACED,
103617,,TIGHTENED,,SCREWS,
103618,,INSTALLED,,NEW CLAMP,
103619,GASKETS,REMOVED,,REPLACED W/ NEW,
103620,,PERFORMD,,"FULL GROUND RUN, NO DEFECTS NOTED. MX FLIGHT R",
103621,GASKET,REPLACED,,NEW,
103622,,REINSTALLED,,,
103623,COWL,REPLACED,,,
103624,,STOP DRILLED,,,
103625,INTAKE GASKETS,REPLACED,,,
103626,,TIGHTENED,,,
103627,BAFFLE SEAL,RESECURED,[2],,
103628,,STOP DRILLED,,,
103629,GASKET,REPLACED,,,
103630,,,,LEAK CK'ED GOOD,
103631,,REMOVED,,,
103632,CYLINDER,REPLACED,,NEW,
103633,BAFFLE TIE,REPLACED,,BROKEN,
103634,ADEL CLAMP,REPLACED,,,
103635,INTAKE GASKET,REPLACED,[3],,
103636,ROCKER COVER GASKET,REPLACED,[4],,
103637,,REMOVED,,ROUGH MAG DROP,
103638,,STARTED,,,
103639,,STARTED,,,
103640,GASKET,REPLACED,,NEW,
103641,,STOP,,DRILLED CRACK,
103642,INTAKE GASKET,REMOVED,[2],REPLACED,
103643,ROCKER COVER GASKETS,REMOVED,,REPLACED,
103644,,STOP,,DRILLED CRACK,
103645,ROCKER COVER GASKET,REMOVED,,REPLACED,
103646,INTAKE GASKETS,REMOVED,,REPLACED,
103647,ROCKER COVER GASKETS,REMOVED,,REPLACED,
103648,BAFFLE SPRING,INSTALLED,,NEW,
103649,INTAKE GASKET,REPLACED,,,
103650,ROCKER COVER GASKET,REPLACED,,,
103651,INTAKE GASKET,REPLACED,[3],,
103652,,REMOVED,,INSTALLED NEW SEAL W/ POP RIVETS,
103653,BAFFLE SCREW,TIGHTENED,[3],,
103654,,REMOVED,,REPLACED GASKETS,
103655,BAFFLE SEAL,SECURED,,,
103656,,CLEANED,,FWD & AFT OIL COOLERS,
103657,,REMOVED,,CLEANED & REINSTALLED BOTH SNIFFLER VALVES,
103658,ROCKER COVER GASKET,REMOVED,[2],REPLACED,
103659,INTAKE GASKET,REMOVED,,REPLACED,
103660,,STOP,,DRILLED CRACK,
103661,,CK,,GOOD,
103662,GASKET,REPLACED,,,
103663,,CK,,GOOD,
103664,GASKET,REPLACED,,,
103665,SCREW,TIGHTENED,,,
103666,,FILLED,,WORN SPOTS W/ BLACK RTV,
103667,INTAKE GASKET,REPLACED,,,
103668,INTAKE GASKET,REPLACED,,,
103669,BAFFLE SECTION,SECURED,,,
103670,,REPLACED,,W/ NEW GASKETS,
