IDENT,ActionPart,ActionTaken
102985,INTAKE GASKET,REMOVED & REPLACED
102986,ROCKER COVER GASKETS,REMOVED & REPLACED
102987,BAFFLE CONNECTING,REMOVED & REPLACED
102988,CLAMPS,RESECURED
102989,INTAKE GASKETS,REMOVED & REPLACED
102990,ROCKER COVER GASKETS,REMOVED & REPLACED
102991,OIL FILLER TUBE,TIGHTENED
102992,BAFFLE,SECURED
102993,INTAKE GASKET,REMOVED & REPLACED
102994,"CLAMP, PUSH ROD TU",REMOVED & REPLACED
102995,GASKET,REMOVED & REPLACED
102996,ROCKER COVER GASKET,REMOVED & REPLACED
102997,GASKET,REPLACED
102998,,"REPLACED, SCREW"
102999,GASKET,REMOVED & REPLACED
103000,GASKET,REMOVED & REPLACED
103001,,INSTALLED
103002,SEAL,SECURED
103003,"PLASTIC, WAY",REMOVED
103004,ROCKER COVER GASKET,REMOVED & REPLACED
103005,SCREWS,SWAPPED
103006,GASKETS,REMOVED & REPLACED
103007,"SPARK PLUG, PLUG",INSTALLED
103008,,
103009,BAFFLE,REATTACHED
103010,,INSTALLED
103011,GASKET,REMOVED & REPLACED
103012,GASKETS,REMOVED & REPLACED
103013,CK,
103014,ROCKER COVER GASKET,REMOVED & REPLACED
103015,"OPS & LEAK, CK",
103016,OIL COOLER,REMOVED & REPLACED
103017,"EXHAUST SYSTEM, WIRING",INSTALLED
103018,EXHAUST SYSTEM,DISCONNECTED
103019,MOUNT,INSTALLED
103020,,
103021,OIL LINE & QUICK,REMOVED
103022,INTAKE GASKET,REMOVED & REPLACED
103023,IDLE,ADJUSTED
103024,IDLE CK,RUN
103025,ROCKER COVER GASKET,REMOVED & REPLACED
103026,"CYL, INTAKE GASKET",REMOVED & REPLACD
103027,INTAKE GASKET,REMOVED & REPLACED
103028,GASKET,REMOVED & REPLACED
103029,GASKET,REPLACED
103030,UP A/C,RAN
103031,BAFFLE PLUGS,REMOVED & REPLACED
103032,GASKET,REPLACED
103033,PLUG,INSTALLED
103034,GASKET,REMOVED & REPLACED
103035,GASKET,REMOVED & REPLACED
103036,INTAKE GASKETS,REMOVED & REPLACED
103037,ROCKER COVER GASKET,REMOVED & REPLACED
103038,,
103039,COMPRESSION,RUN & NOTED
103040,RUN,
103041,EXHAUST & INTAKE VALVES,STAKED
103042,GASKETS,REMOVED & REPLACED
103043,ROCKER COVER GASKET,REMOVED & REPLACED
103044,2739.8;,"RESEARCHED, CARD"
103045,ROCKER COVER GASKETS,REMOVED & REPLACED
103046,GASKET,REMOVED & REPLACED
103047,SNIFFLER VALVES,CLEANED
103048,ROCKER COVER GASKETS,REPLACED
103049,"GASKETS, CK",REPLACED
103050,INTAKE GASKET,REMOVED & REPLACED
103051,ROCKER COVER GASKET,REMOVED & REPLACED
103052,INTAKE GASKETS,REMOVED & REPLACED
103053,TIME,
103054,,
103055,COVERS,TIGHTENED
103056,,TIGHTENED
103057,WIRE,REPLACED
103058,BAFFLE PLUGS,REMOVED & REPLACED
103059,GASKETS,REPLACED
103060,ONES,REPLACED
103061,GASKET,REMOVED & REPLACED
103062,"CYL, INTAKE GASKET",REMOVED & REPLACED
103063,INDUCTION TUBE GASKET,INSTALLED
103064,"BAFFLE, SCREWS",REMOVED
103065,,"INSTALLED, TIE ROD"
103066,BAFFLE SEAL,RESECURED
103067,INTAKE GASKETS,REMOVED & REPLACED
103068,ROCKER COVER GASKETS,REMOVED & REPLACED
103069,,
103070,GASKET,REPLACED
103071,RTV IN AREAS,INSTALLED
103072,CYLINDER,REMOVED
103073,INTAKE GASKETS,REMOVED & REPLACED
103074,SEAL,RESECURED
103075,HOLE DOUBLER,INSTALL
103076,INTAKE GASKET,REMOVED & REPLACED
103077,ROCKER COVER GASKET,REMOVED & REPLACED
103078,ROCKER COVER GASKET,REMOVED & REPLACE
103079,"UP A/C, PLUGS, CK","RAN, CLEAN"
103080,GASKET,REPLACED
103081,RTV IN WORN AREAS,INSTALLED
103082,OIL RETURN LINE,TIGHTENED
103083,INTAKE GASKET,REMOVED & REPLACED
103084,GASKET,REMOVED & REPLACED
103085,"GASKET, CK",REPLACED
103086,"GASKET, CK",REPLACED
103087,INTAKE GASKETS,REMOVED & REPLACED
103088,INTAKE GASKETS,REMOVED & REPLACED
103089,"SCREWS, ROCKER COVERS",INSTALLED
103090,,
103091,ROCKER COVER GASKETS,REMOVED & REPLACED
103092,,
103093,COWL SEAL,RESECURED
103094,"BOTH GASKETS, CK",REPLACED
103095,"ROCKER GASKETS, CK",REPLACED
103096,INTAKE GASKET,REMOVED & REPLACED
103097,GASKET,REMOVED & REPLACED
103098,GASKETS,REPLACED
103099,BUFFER,
103100,,
103101,INTAKE GASKETS,REMOVED & REPLACED
103102,INTAKES GASKETS,REMOVED & REPLACED
103103,ROCKER COVER GASKETS,REMOVED & REPLACED
103104,INTAKE GASKET,REMOVED & REPLACED
103105,"UP A/C, DISCREPANCY, CK",RAN
103106,BUFFER,
103107,INTAKE GASKET,REMOVED & REPLACED
103108,INTAKE GASKETS,REMOVED & REPLACED
103109,ROCKER COVER GASKET,REMOVED & REPLACED
103110,ROCKER COVER GASKET,REMOVED & REPLACED
103111,INTAKE GASKETS,REMOVED & REPLACED
103112,"A/C, CK",RAN
103113,,SITE
103114,,
103115,EXHAUST GUIDES,COMPLETED
103116,"REASSEMBLY, CK",
103117,,
103118,OIL COOLER,INSTALLED
103119,"CK, IDLE MIXTURE",
103120,CUSTOMER SUPPLIED,RECEIVED
103121,,REMOVED DEFECTIVE ENGINE
103122,INTAKE GASKETS,REMOVED & REPLACED
103123,TEMPS,
103124,,PART
103125,,RESAFETIED
103126,BAFFLE SEAL,REMOVED & REPLACED
103127,BAFFLE,SCREW
103128,ROCKER COVER GASKETS,REMOVED & REPLACED
103129,WHERE NEEDED,
103130,INTAKE GASKET,REMOVED & REPLACED
103131,,REMOVED & REPLACED
103132,ROCKER COVER GASKETS,REMOVED & REPLACED
103133,,REPLACED
103134,GASKET,REPLACED
103135,AREAS,RTV'ED
103136,GASKET,REMOVED & REPLACED
103137,GASKETS,REMOVED & REPLACED
103138,ROCKER,INSTALLED
103139,CARD,EVALUATED
103140,INTAKE GASKET,REMOVED & REPLACED
103141,BAFFLE PLUGS,REMOVED & REPLACED
103142,ROCKER COVER GASKETS,REMOVED & REPLACED
103143,GASKET,REMOVED & REPLACED
103144,BAFFLE SPRING,REMOVED & REPLACED
103145,INTAKE GASKETS,REMOVED & REPLACED
103146,INTAKE GASKETS,INSTALLED
103147,INTAKE GASKET,REMOVED & REPLACED
103148,ROCKER COVER GASKET,REMOVED & REPLACED
103149,DRAIN LINE,TIGHTENED
103150,ROCKER COVER GASKET,REMOVED & REPLACED
103151,BAFFLE,REATTACHED
103152,"BOLT, NEEDED",INSTALLED
103153,ROCKER COVER GASKET,REMOVED & REPLACED
103154,INTAKE GASKET,REMOVED & REPLACED
103155,BOTH GASKETS,REPLACED
103156,ROCKER,TIGHTENED
103157,"HARDWARED ON, OIL COOLER",TIGHTENED
103158,WASHER & INSTALLED,REMOVED
103159,"BOLTS, BOLT HOLES",REMOVED
103160,INTAKE GASKET,REMOVED & REPLACED
103161,ROCKER COVER GASKET,REMOVED & REPLACED
103162,INTAKE GASKETS,REMOVED & REPLACED
103163,ROCKER COVER GASKETS,REMOVED & REPLACED
103164,ROCKER BOX COVER GASKET,INSTALLED
103165,"TEST, BELOW",
103166,GASKET,REPLACED
103167,BAFFLE INSTALLATION: REINSTALLED,
103168,BAFFLE,"REMOVED, RIVETS & REINSTALLED"
103169,RTV IN WORN AREAS,INSTALLED
103170,"DAMAGED, PISTON",
103171,"EXHAUST VALVE, CYL, INTAKE VALVE",FITTED
103172,"EXHAUST VALVE, INTAKE VALVE",FITTED
103173,INTAKE GASKETS,REMOVED & REPLACED
103174,INTAKE GASKET,REMOVED & REPLACED
103175,CK,
103176,GEAR,"REMOVED, PROP & RING"
103177,"CYL, INTAKE GASKETS",REMOVED & REPLACED
103178,,REMOVED & REPLACED
103179,GASKET,REPLACED
103180,GASKET,REPLACED
103181,"CYLINDER ASSY, CYL, PISTON",REPLACED
103182,GASKET,REPLACED
103183,BOTH BUTTONS,INSTALLED
103184,RTV IN WORN AREAS,INSTALLED
103185,,REMOVED & REPLACED
103186,GASKET,REPLACED
103187,,
103188,INTAKE GASKETS,REMOVED & REPLACED
103189,"BAFFLE, BAFFLE",REMOVED
103190,"BAFFLE, BAFFLE",REMOVED
103191,SCREWS,TIGHTENED
103192,GASKETS,REMOVED & REPLACED
103193,BAFFLE & HARDWARE,INSTALLED
103194,,"REMOVED, NECESSARY"
103195,"PISTON, ROD, PISTION",REMOVED
103196,"INSTALLATION, ROCKER COVER",
103197,"CYL, REPLACEMENT",DONE
103198,BUTTON,REPLACED
103199,,INSTALLED
103200,TUBE,REPLACED
103201,CK,
103202,CK,
103203,BAFFLE SEAL,SECURED
103204,CK,
103205,CK,
103206,INTAKE GASKETS,REMOVED & REPLACED
103207,INTAKE GASKETS,REMOVED & REPLACED
103208,BOLT,REMOVED
103209,ROCKER COVER GASKETS,REMOVED & REPLACED
103210,,REATTACHED
103211,,INSTALLED
103212,"BRACKET, PATCH",REMOVED
103213,"DAMAGE, FIRST STAGE",COMPRESSOR
103214,INTAKE GASKET,REMOVED & REPLACED
103215,"CORK GASKET, W/ SILICONE GASKET","REMOVED, REPLACED"
103216,"CORK GASKET, W/ SILICONE GASKET","REMOVED, REPLACED"
103217,GASKETS,REMOVED & REPLACED
103218,INTAKE GASKETS,REMOVED & REPLACED
103219,INTAKE GASKET,REMOVED & REPLACED
103220,GASKET,REMOVED & REPLACED
103221,,REPLACED
103222,ROCKER COVER GASKET,REMOVED & REPLACED
103223,INTAKE GASKETS,REMOVED & REPLACED
103224,INTAKE GASKETS,REMOVED & REPLACED
103225,INTAKE GASKET,REMOVED & REPLACED
103226,,"REMOVED & REPLACED, TIE ROD"
103227,GASKET,REMOVED & REPLACED
103228,INTAKE GASKETS,REMOVED & REPLACED
103229,BAFFLING,
103230,INTAKE GASKET,REMOVED & REPLACED
103231,INTAKE GASKETS,REPLACED
103232,,FITTINGS
103233,BOLT,INSTALLED
103234,BOTH BAFFLE BUTTONS,REMOVED & REPLACED
103235,OIL COOLER LINE,REROUTED
103236,BAFFLE,REROUTED
103237,SCREW,INSTALLED
103238,WIRE,"REMOVED & REPLACED, TIE"
103239,"ENGINE, BOLT",INSTALLED
103240,,REMOVED
103241,EXTRA SPARK PLUG,REMOVED
103242,,
103243,INTAKE GASKET,REMOVED & REPLACED
103244,BAFFLE PLUG,REMOVED & REPLACED
103245,GASKET,REMOVED & REPLACED
103246,,REVIEWED
103247,INTAKE GASKETS,REMOVED & REPLACED
103248,ROCKER COVERS GASKETS,REMOVED & REPLACED
103249,INTAKE GASKET,REMOVED & REPLACED
103250,"INTAKE GASKET, WASHERS",REPLACED
103251,ROD,REMOVED & REPLACED
103252,INTAKE GASKET,REMOVED & REPLACED
103253,INTAKE GASKET,REMOVED & REPLACED
103254,,
103255,ROCKER GASKETS,REMOVED & REPLACED
103256,INTAKE GASKETS,REMOVED & REPLACED
103257,BAFFLE & RESEALED,TIGHTENED
103258,,
103259,,REFERENCE
103260,ROCKER COVER GASKET,REMOVED & REPLACED
103261,ROCKER COVER GASKETS,REMOVED & REPLACED
103262,BAFFLE PLUGS,REPLACED
103263,INTAKE GASKET,REMOVED & REPLACED
103264,INTAKE GASKETS,REMOVED & REPLACED
103265,ROCKER COVER GASKETS,REMOVED & REPLACED
103266,INTAKE GASKETS,REMOVED & REPLACED
103267,"BAFFLE SEAL, BAFFLE",REATTACHED
103268,"BAFFLE, BRACKET & RE",REMOVED
103269,GASKET,REPLACED
103270,BAFFLE SEALS,REPLACED
103271,,
103272,,
103273,,
103274,INTAKE GASKETS,REMOVED & REPLACED
103275,BOTH PLUGS,REPLACED
103276,RTV IN AREAS,INSTALLED
103277,ENGINE,RUN UP
103278,SCREW,INSTALLED
103279,ROCKER GASKETS,REMOVED & REPLACED
103280,INTAKE GASKETS,REMOVED & REPLACED
103281,INTAKE GASKETS,REMOVED & REPLACED
103282,,REMOVED & REPLACED
103283,OIL RETURN LINE,"TIE ROD, -"
103284,INTAKE GASKETS,REMOVED & REPLACED
103285,BOLTS (,"REMOVED, RESEALED & RETO"
103286,ROCKER COVER GASK,REMOVED & REPLACED
103287,"BAFFLE CONNECTING, BETWEEN #, CYLINDER",TIGHTENED
103288,INTAKE GASKETS,REMOVED & REPLACED
103289,BAFFLE PLUGS,REMOVED & REPLACED
103290,BAFFLE PLUG PATCH,INSTALLED
103291,BAFFLE,INSTALLED
103292,"BAFFLE PATCH, PATCH","REMOVED, CRACKED"
103293,,COMPRESSION
103294,BAFFLE MATERIAL,REMOVED & REPLACED
103295,INTAKE GASKETS,REMOVED & REPLACED
103296,BRACKET,REMOVED & REPLACED
103297,INTAKE GASKETS,REMOVED & REPLACED
103298,OIL LINE,DISCONNECTED
103299,EXHAUST VALVE,REPLACED
103300,BAFFLE,REINSTALLED
103301,ROCKER COVER GASKETS,REPLACED
103302,BONE BOLTS,CLEANED
103303,INTAKE GASKETS,REMOVED & REPLACED
103304,"QUICK, DRAIN",INSTALLED
103305,"QUICK, DRAIN",INSTALLED
103306,INTAKE GASKETS,REMOVED & REPLACED
103307,GASKET,REPLACED
103308,W/ TYWRAP,SECURED
103309,BRACKET,REMOVED & REPLACED
103310,SIMULATION,REMOVED
103311,BAFFLE PLUGS,REPLACED
103312,ROCKER COVER GASKET,REMOVED & REPLACED
103313,,INSTALLED
103314,,
103315,GASKETS,REPLACED
103316,GASKETS,REMOVED & REPLACED
103317,BUTTONS,REMOVED & REPLACED
103318,"ROCKER COVERS, COVERS",REMOVED
103319,"ROCKER COVERS & CLEANED, GASKET",REMOVED
103320,BAFFLE SEAL,RESECURED
103321,"WIRING, BAFFLE STANDOFF",RESECURED
103322,OPS CK GOOD,
103323,CK,REMOVED & REPLACED
103324,ROCKER COVER GASKET,REMOVED & REPLACED
103325,,REMOVED & REPLACED
103326,INTAKE GASKETS,REMOVED & REPLACED
103327,"HELICOPTER IN HEATER, HANGAR",PLACED
103328,INTAKE GASKETS,REMOVED & REPLACED
103329,INTAKE TUBE FOUND,"UPON, INSP"
103330,GASKETS,REMOVED & REPLACED
103331,GASKET,REMOVED & REPLACED
103332,BAFFLE SEAL,REATTACHED
103333,GASKET,REPLACED
103334,SCREWS,INSTALLED
103335,INTAKE GASKET,REMOVED & REPLACED
103336,BAFFLE MATERIAL,RESECURED
103337,,REMOVED & REPLACED
103338,"CYL, ROCKER COVER GASKETS",REMOVED & REPLACED
103339,ROCKER COVER GASKETS,REMOVED & REPLACED
103340,INTAKE GASKET,REMOVED & REPLACED
103341,INTAKE GASKET,REMOVED & REPLACED
103342,,
103343,INTAKE GASKET,REMOVED & REPLACED
103344,ROCKER COVERS,REMOVED & REPLACED
103345,GASKETS,REMOVED & REPLACED
103346,BAFFLE PLUG,INSTALLED
103347,GASKET,REMOVED & REPLACED
103348,INTAKE GASKET,REMOVED & REPLACED
103349,,"REPLACED, SCREW"
103350,,INSTALLED
103351,INTAKE GASKET,REPLACED
103352,BAFFLE PLUG,"REPLACED, RIGHT"
103353,A/C.,STARTED
103354,INTAKE GASKET,INSTALLED
103355,BONE BOLTS,RETORQUED
103356,OIL FILLER TUBE & SAFETIED,TIGHTENED
103357,BAFFLE ROD FASTENER,REMOVED & REPLACED
103358,BAFFLE,"REMOVED, RIVETS & INSTALLED"
103359,INTAKE GASKET,REMOVED & REPLACED
103360,CYLS,REMOVED & REPLACED
103361,BAFFLE,
103362,,
103363,BOLT,REPLACED
103364,"CYL, ROCKER COVER GASKET",REMOVED & REPLACED
103365,,REMOVED & REPLACED
103366,GASKET,REMOVED & REPLACED
103367,ROCKER COVER GASKET,REMOVED & REPLACED
103368,ROCKER COVER GASKET,REMOVED & REPLACED
103369,ROCKER COVER SCREWS,RESECURED
103370,BAFFLE,"DRILLED, TIE ROD, HOLE"
103371,ROCKER COVER GASKETS,REMOVED & REPLACED
103372,,SEALED
103373,PATCH,
103374,ROCKER GASKETS,REMOVED & REPLACED
103375,ROCKER DRAIN LINE,TIGHTENED
103376,GASKET,REPLACED
103377,GASKETS,REMOVED & REPLACED
103378,GASKET,REMOVED & REPLACED
103379,GASKET,REMOVED & REPLACED
103380,ROCKER COVER GASKETS,REMOVED & REPLACED
103381,BAFFLE SEAL,RESECURED
103382,GASKET,REMOVED & REPLACED
103383,BAFFLE,PATCHED
103384,A/C,STARTED
103385,"CORROSION, PREVENTION",INSTALLED
103386,"CORROSION, PREVENTION",
103387,"CORROSION, PREVENTION",
103388,CORROSION,PREVENTION
103389,"CORROSION, PROTECTION",
103390,"UP A/C, CK",RAN
103391,"CORROSION, PREVENTION",INSTALLED
103392,"CORROSION, PREVENTION",
103393,INTAKE GASKET,REMOVED & REPLACED
103394,,INSTALLED
103395,,
103396,BAFFLE ROD,INSTALLED
103397,RIVNUT,REMOVED & REPLACED
103398,"BAFFLE, BAFF","REMOVED, CRACKED"
103399,PATCH,
103400,PATCH,
103401,,
103402,GASKET,REMOVED & REPLACED
103403,GASKETS,REMOVED & REPLACED
103404,INTAKE GASKET,REMOVED & REPLACED
103405,ROCKER COVER GASKETS,REMOVED & REPLACED
103406,BAFFLE CONNECTING,REMOVED & REPLACED
103407,,REPLACED
103408,SCREW,INSTALLED
103409,INDUCTION TUBE GASKET,INSTALLED
103410,ROCKER COVER GASKET,REMOVED & REPLACED
103411,INTAKE GASKET,REMOVED & REPLACED
103412,GASKET,REPLACED
103413,GASKETS,REPLACED
103414,GASKET,REPLACED
103415,GASKET,REPLACED
103416,INTAKE TUBE GASKET,REMOVED & REPLACED
103417,,REPLACED
103418,INTAKE GASKETS,REMOVED & REPLACED
103419,INTAKE GASKETS,REMOVED & REPLACED
103420,GASKET,REPLACED
103421,RTV SILICONE IN WORN AREAS,INSTALLED
103422,,"INSTALLED, SCREW"
103423,,REMOVED & REPLACED
103424,"BAFFLES AS REQUIRED & DISCONNECTED, OIL LINES",REMOVED
103425,,
103426,INTAKE TUBE,REMOVED
103427,,REMOVED & REPLACED
103428,ROCKER COVER GASKET,REMOVED & REPLACED
103429,GASKET,REMOVED & REPLACED
103430,INTAKE GASKET,REMOVED & REPLACED
103431,ROD,REMOVED & REPLACED
103432,INTAKE GASKET,REMOVED & REPLACED
103433,,REMOVED & REPLACED
103434,INTAKE GASKET,REMOVED & REPLACED
103435,BAFFLE PLUGS,REPLACED
103436,INTAKE GASKETS,REMOVED & REPLACED
103437,"ROCKER COVER GASKETS, CK",REMOVED & REPLACED
103438,"EXHAUST PUSH ROD SEALS, CK",REMOVED & REPLACED
103439,GASKETS,REMOVED & REPLACED
103440,INTAKE GASKETS,INSTALLED
103441,ROCKER BOX COVER GASKET,INSTALLED
103442,ROCKER BOX COVER GASKETS,INSTALLED
103443,INTAKE GASKETS,REMOVED & REPLACED
103444,INTAKE GASKETS,REMOVED & REPLACED
103445,"BAFFLE, PATCH","REPAIRED, FABRICATED"
103446,"ENGINE, A/C, CK","WASHED, RAN"
103447,,"REMOVED, DUCT"
103448,,"REMOVED, WRENCH"
103449,,REMOVED & REPLACED
103450,RTV IN AREAS,INSTALLED
103451,OIL COOLER & OIL FILLER TUBE,LOOSENED
103452,,"REMOVED ENGINE BAFFLE, BAFFLE &"
103453,,"REPLACED, SCREW"
103454,"UP A/C, DISCREPANCY, CK",RAN
103455,"INJECTOR & ULTRASONICALLY, CLEANED",REMOVED
103456,INTAKE GASKET,REMOVED & REPLACED
103457,GASKET,REMOVED & REPLACED
103458,"PROP ASSY, TENSION & R",REMOVED
103459,,INSTALLED
103460,ENGINE,FOGGED
103461,"ENGINE, ROTOR",
103462,"CORROSION, PREVENTION",
103463,"CORROSION, PREVENTION",
103464,GASKET,REMOVED & REPLACED
103465,GASKET,REMOVED & REPLACED
103466,,
103467,,INSTALLED
103468,ROCKER BOX COVER GASKET,INSTALLED
103469,ROCKER COVER,REMOVED
103470,,REMOVED & REPLACED
103471,ROCKER COVER GASKET,REMOVED & REPLACED
103472,GASKET,REMOVED & REPLACED
103473,INTAKE GASKET,REMOVED & REPLACED
103474,INTAKE GASKET,REMOVED & REPLACED
103475,INTAKE GASKETS,REPLACED
103476,ROCKER COVER GASKETS,REPLACED
103477,INTAKE GASKET,REMOVED & REPLACED
103478,"UP A/C, COMPRESSION, CYL","RAN, TEST"
103479,"INTAKE GASKETS, CK",REPLACED
103480,"CYL, OIL RETURN LINE, CK",TIGHTENED
103481,BAFFLE PLUG,REMOVED & REPLACED
103482,,INSTALLED
103483,,
103484,GASKETS,REMOVED & REPLACED
103485,MUFFLER,REMOVED
103486,ROCKER COVER GASKETS,REMOVED & REPLACED
103487,BAFFLE,REPLACED
103488,A/C.,STARTED
103489,INTAKE GASKET,REMOVED & REPLACED
103490,"W/ RIVETED DOUBLER & REPLACED, BAFFLE PLUG",REPAIRED
103491,,
103492,INDUCTION TUBE GASKETS,INSTALLED
103493,INTAKE GASKET,REMOVED & REPLACED
103494,ROCKER COVER,REMOVED & REPLACED
103495,INTAKE GASKETS,REPLACED
103496,ALTERNATOR,"REMOVED, REMOVE"
103497,PATCH,COMPLETED
103498,BAFFLE SEAL,REMOVED & REPLACED
103499,INTAKE GASKETS,REPLACED
103500,BAFFLE PLUGS,REMOVED & REPLACED
103501,INTAKE GASKET,REMOVED & REPLACED
103502,GASKET,REPLACED
103503,GASKET,REMOVED & REPLACED
103504,W/ HIGH TEMP,REPAIRED
103505,W/ NE GASKET,"REMOVED, CLEANED & REPLACED"
103506,INTAKE GASKETS,REMOVED & REPLACED
103507,BAFFLE PLUGS,REMOVED & REPLACED
103508,INTAKE GASKET,REMOVED & REPLACED
103509,"RUN, ENGINE",
103510,INTAKE GASKET,INSTALLED
103511,RTV IN WORN AREAS,INSTALLED
103512,PLUGS,REMOVED & REPLACED
103513,INTAKE GASKET,REMOVED & REPLACED
103514,INTAKE GASKET,INSTALLED
103515,INTAKE GASKETS,REMOVED & REPLACED
103516,INTAKE GASKETS,REMOVED & REPLACED
103517,,INSTALLED
103518,BAFFLE SCREW,TIGHTENED
103519,BAFFLE PLUG,INSTALLED
103520,GASKET,REMOVED & REPLACED
103521,INTAKE GASKET,REMOVED & REPLACED
103522,GASKET,REMOVED & REPLACED
103523,GASKET,REMOVED & REPLACED
103524,GASKET,INSTALLED
103525,ROCKER BOX COVER GASKETS,INSTALLED
103526,INTAKE GASKETS,REPLACED
103527,"A/C, CK",RAN
103528,"MINERAL, OIL",SERVICED
103529,ROCKER COVER & STAKED VALVE,REMOVED
103530,INTAKE ELBOW,REMOVED
103531,EXHAUST,REINSTALLED
103532,,REMOVED & REPLACED
103533,INTAKE GASKETS,REMOVED & REPLACED
103534,BAFFLE PLUGS,REMOVED & REPLACED
103535,,INSTALLED
103536,,
103537,GASKETS,REMOVED & REPLACED
103538,GASKETS,REMOVED & REPLACED
103539,,"MARKED, ENGINE & CYLINDERS"
103540,GASKET,REMOVED & REPLACED
103541,GASKET,REMOVED & REPLACED
103542,INTAKE GASKETS,REMOVED & REPLACED
103543,,ATTEMPTED
103544,GASKET,REPLACED
103545,CK,
103546,GASKET,REPLACED
103547,BOTH GASKETS,REPLACED
103548,,REMOVED & REPLACED
103549,ROCKER COVER & STAKED VALVE,REMOVED
103550,OIL LINES & OIL COOLER,REMOVED
103551,REINSTALLATION,
103552,GASKET,REMOVED & REPLACED
103553,GASKET,REMOVED & REPLACED
103554,,REMOVED & REPLACED
103555,A/C,STARTED
103556,GASKETS,REMOVED & REPLACED
103557,POSITION,INSTALLED
103558,GASKET,REPLACED
103559,BAFFLE SEAL,REMOVED & REPLACED
103560,,
103561,INTAKE GASKET,REMOVED & REPLACED
103562,ROCKER COVER GASKETS,REMOVED & REPLACED
103563,HARDWARE,"REPLACED, SCREW"
103564,,INSTALLED
103565,BAFFLE PLUG,REMOVED & REPLACED
103566,TEMPS,RAN
103567,,"TIGHTENED, SCREW"
103568,INTAKE GASKET,REMOVED & REPLACED
103569,GASKETS,REMOVED & REPLACED
103570,BOLTS,REMOVED
103571,,
103572,,
103573,INTAKE GASKETS,REMOVED & REPLACED
103574,HARDWARE,TIGHTENED
103575,INTAKE GASKETS,INSTALLED
103576,BAFFLE SEAL,"REATTACHED, RUBBER"
103577,INTAKE GASKETS,REMOVED & REPLACED
103578,INTAKE GASKET,REMOVED & REPLACED
103579,ROCKER COVER GASKET,REPLACED
103580,BAFFLE INSP HOLE DOUBLER,INSTALLED
103581,LINE,REPOSITIONED
103582,,"REMOVED, SCREW & REPLACED"
103583,,
103584,INTAKE GASKETS,REMOVED & REPLACED
103585,ROCKER COVER GASKETS,REMOVED & REPLACED
103586,INTAKE GASKETS,REMOVED & REPLACED
103587,"A/C, CYL",RAN
103588,GASKET,REMOVED & REPLACED
103589,INTAKE GASKET,REMOVED & REPLACED
103590,ROCKER COVER GASKET,REMOVED & REPLACED
103591,A/C,STARTED
103592,GASKET,REPLACED
103593,GASKET,REMOVED & REPLACED
103594,,REMOVED & REPLACED
103595,INTAKE GASKET,REMOVED & REPLACED
103596,INTAKE GASKETS,REMOVED & REPLACED
103597,ROCKER COVER GASKETS,REMOVED & REPLACED
103598,"PATCH, BAFFLE",FABRICATED
103599,GASKET,REMOVED
103600,GASKET,REMOVED & REPLACED
103601,INTAKE GASKETS,REMOVED & REPLACED
103602,,INSTALLED
103603,GASKET,REMOVED & REPLACED
103604,INTAKE GASKET,REMOVED & REPLACED
103605,GASKET,REMOVED & REPLACED
103606,HARDWARE,INSTALLED
103607,GASKET,REMOVED & REPLACED
103608,GASKETS,REMOVED & REPLACED
103609,GASKET,REMOVED
103610,RIVET,REMOVED & REPLACED
103611,GASKET,REMOVED
103612,GASKETS,REMOVED & REPLACED
103613,BAFFLE SEAL,RESECURED
103614,INTAKE GASKETS,REPLACED
103615,PLUGS,INSTALLED
103616,INTAKE GASKETS,REMOVED & REPLACED
103617,SCREWS,TIGHTENED
103618,CLAMP,INSTALLED
103619,GASKETS,REMOVED & REPLACED
103620,,FULL
103621,GASKET,REMOVED & REPLACED
103622,,SCREW & REINSTALLED
103623,"COWL, SCREWS",REMOVED
103624,,
103625,INTAKE GASKETS,REMOVED & REPLACED
103626,LOOSE BOLTS,TIGHTENED
103627,CYL,RESECURED
103628,,
103629,GASKET,REMOVED & REPLACED
103630,OPS & LEAK,
103631,PUSH RODS & VALVE,REMOVED
103632,"CYLINDER, CYL ASSY",REPLACED
103633,BAFFLE TIE,REMOVED & REPLACED
103634,CLAMP,REMOVED & REPLACED
103635,INTAKE GASKET,REMOVED & REPLACED
103636,ROCKER COVER GASKET,REMOVED & REPLACED
103637,"A/C, DROP","RAN, HAVE, ROUGH"
103638,A/C,STARTED
103639,A/C,STARTED
103640,GASKET,"REMOVED, CLEANED & REPLACED"
103641,,
103642,,REMOVED & REPLACED
103643,ROCKER COVER GASKETS,REMOVED & REPLACED
103644,,
103645,ROCKER COVER GASKET,REMOVED & REPLACED
103646,INTAKE GASKETS,REMOVED & REPLACED
103647,ROCKER COVER GASKETS,REMOVED & REPLACED
103648,BAFFLE SPRING,INSTALLED
103649,INTAKE GASKET,REPLACED
103650,ROCKER COVER GASKET,REPLACED
103651,INTAKE GASKET,REPLACED
103652,"SEAL, SEAL, RIVETS",REMOVED
103653,BAFFLE SCREW,TIGHTENED
103654,GASKETS,REMOVED & REPLACED
103655,BAFFLE SEAL,SECURED
103656,COOLERS,CLEANED
103657,VALVES,"REMOVED, CLEANED & REINSTALLED"
103658,ROCKER COVER GASKET,REMOVED & REPLACED
103659,INTAKE GASKET,REMOVED & REPLACED
103660,,
103661,CK,
103662,GASKET,REPLACED
103663,CK,
103664,GASKET,REPLACED
