IDENT,PROBLEM,PROBLEM_TYPE,LOCATION,PROBLEM_PART,TAGGEDPROBLEM,EFFECT,ACTION,ACTION_TYPE,INSTALL/REPLACE WITH,ACTION_PART,TAGGEDACTION,CAUSE
103226,R/H BAFFLE TIE ROD IS BROKEN.,OK,R/H,BAFFLE TIE ROD,BROKEN,,REMOVED & REPLACED R/H BAFFLE TIE ROD.,,,BAFFLE TIE ROD,REMOVED & REPLACED,
103227,#4 ROCKER COVER GASKET LEAKING.,OK,#4,ROCKER COVER GASKET,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
103228,#1 & 4 INTAKE GASKETS LEAKING.,OK,#1 & 4,INTAKE GASKETS,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103229,#1 OUTER CYLINDER BAFFLING CRACKED BY NUTPLATE.,OK,#1 OUTER CYLINDER,BAFFLING,CRACKED,,STOP DRILLED CRACK ON #1 CYLINDER OUTER BAFFLING.,,,DRILLED CRACK,STOP,
103230,#4 INDUCTION TUBE GASKET IS LEAKING.,OK,#4,INDUCTION TUBE GASKET,LEAKING,,REMOVED & REPLACED #4 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103231,#3 & 4 INTAKES LEAKING.,OK,#3 & 4,INTAKES,LEAKING,,REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REPLACED,
103232,ALUM FITTINGS FOR OIL COOLER OK?,DIFFICULT,,,,,FITTINGS OK.,,,FITTINGS,OK,
103233,OIL COOLER LOWER O/B BOLT NO THREADS SHOWING.,DIFFICULT,,,,,INSTALLED NEW BOLT.,,NEW,BOLT,INSTALLED,
103234,BOTH BAFFLE BUTTONS WORN.,OK,BOTH,BAFFLE BUTTONS,WORN,,REMOVED & REPLACED BOTH BAFFLE BUTTONS.,,,BAFFLE BUTTONS,REMOVED & REPLACED,
103235,OIL COOLER LOWER LINE REQ REROUTING.,OK,LOWER,OIL COOLER LINE,REQUIRE PROBLEM,,REROUTED LOWER OIL COOLER LINE.,,,OIL COOLER LINE,REROUTED,
103236,FRONT FORWARD BAFFLE HUNG UP ON BOLT OF ALTERNATOR EXTRA BRACKET,OK,FRONT FORWARD BAFFLE,BRACKET,HUNG UP,,REROUTED BAFFLE.,,,BAFFLE,REROUTED,
103237,"BAFFLE BOLT OR SCREW MISSING, FORWARD L/H SIDE IN FRONT OF #2 CY",OK,FORWARD L/H SIDE IN FRONT OF #2 CY,BAFFLE BOLT OR SCREW,MISSING,,INSTALLED NEW SCREW.,,NEW,SCREW,INSTALLED,
103238,BAFFLE TIE WIRE INSTALLED WRONG ON R/H OF ENG.,OK,R/H OF ENG,BAFFLE TIE WIRE,INSTALLED WRONG,,REMOVED & REPLACED R/H BAFFLE TIE WIRE.,,,BAFFLE TIE WIRE,REMOVED & REPLACED,
103239,"NUT MISSING ON TOP BACK BONE OF ENG, AFT SLING POINT.",OK,"TOP BACK BONE OF ENG, AFT SLING POINT",NUT,MISSING,,INSTALLED NUT & WASHERS ON ENGINE AFT SLING POINT BOLT.,,,NUT & WASHERS,INSTALLED,
103240,FOREIGN OBJECT DAMAGE ON TOP L/H SIDE OF ENGINE,OK,TOP L/H SIDE OF ENGINE,FOREIGN OBJECT,DAMAGE,,REMOVED FOREIGN OBJECT DAMAGE FROM TOP L/H SIDE OF ENGINE,,,FOREIGN OBJECT DAMAGE,REMOVED,
103241,EXTRA SPARK PLUG ON TOP OF #2 CYLINDER,OK,#2 CYLINDER,SPARK PLUG,EXTRA,,REMOVED EXTRA SPARK PLUG FROM #2 CYLINDER,,,SPARK PLUG,REMOVED,
103242,"ENGINE BAFFLE CRACKED, ABOVE #1 CYL.",OK,ABOVE #1 CYL,BAFFLE,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
103243,CYLINDER #4 INTAKE GASKET LEAKING.,OK,CYLINDER #4,INTAKE GASKET,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103244,"BAFFLE PLUG DAMAGED, REQUIRES REPLACEMENT.",OK,,BAFFLE PLUG,REQUIRE PROBLEM,,REMOVED & REPLACED BAFFLE PLUG.,,,BAFFLE PLUG,REMOVED & REPLACED,
103245,#4 CYLINDER ROCKER COVER LEAKING.,OK,#4 CYLINDER,ROCKER COVER,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
103246,PROP/ENGINE OVERSPEED.,OK,PROP/ENGINE,,OVERSPEED,,REVIEWED FDM DATA. FOUND OVERSPEED TO BE W/IN LIMITS PE,,,FDM DATA,REVIEWED,
103247,"#1, 2 & 3 INTAKE GASKETS LEAKING.",OK,"#1, 2 & 3",INTAKE GASKETS,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103248,#3 & 4 ROCKER COVER GASKETS LEAKING.,OK,#3 & 4,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED ROCKER COVERS GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
103249,#2 INTAKE LEAKING.,OK,#2,INTAKE,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103250,#2 CYLINDER INTAKE IS LEAKING.,OK,#2 CYLINDER,INTAKE,LEAKING,,REPLACED INTAKE GASKET & LOCK WASHERS.,,,"INTAKE GASKET, LOCK WASHERS",REPLACED,
103251,2 & 4 CYLINDER INNER BAFFLE CONNECTOR ROD IS BROKEN.,OK,2 & 4 CYLINDER,INNER BAFFLE CONNECTOR ROD,BROKEN,,REMOVED & REPLACED ROD.,,,ROD,REMOVED & REPLACED,
103252,#4 CYLINDER INTAKE GASKET IS LEAKING.,OK,#4 CYLINDER,INTAKE GASKET,LEAKING,,REMOVED & REPLACED CYLINDER #4 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103253,#1 CYLINDER INTAKE IS LEAKING.,OK,#1 CYLINDER,INTAKE,LEAKING,,REMOVED & REPLACED #1 CYLINDER INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103254,"CRACK ON FORWARD BAFFLE, AFT OF ALTERNATOR MOUNT BOLT.",OK,"FORWARD BAFFLE, AFT OF ALTERNATOR MOUNT BOLT",BAFFLE,CRACK,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
103255,#1 & 2 ROCKER COVER GASKETS LEAKING.,OK,#1 & 2,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED ROCKER GASKETS.,,,ROCKER GASKETS,REMOVED & REPLACED,
103256,#2 & 4 INTAKE GASKETS LEAKING.,OK,#2 & 4,INTAKE GASKETS,LEAKING,,REMOVED & REPLACED #2 & 4 INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103257,COWL SEAL ON FRONT R/H BAFFLE LOOSE.,OK,FRONT R/H,BAFFLE COWL SEAL,LOOSE,,TIGHTENED BAFFLE & RESEALED WITH RTV.,,,"BAFFLE, RTV","TIGHTENED , RESEALED",
103258,#1 CYLINDER BAFFLING CRACK EXTENDING BEYOND STOP DRILL.,OK,#1 CYLINDER,BAFFLING,CRACK,,STOP DRILLED CRACK & INSTALLED DOUBLER PLATE IN REFEREN,,,"CRACK, DOUBLER PLATE",STOP & INSTALLED,
103259,CRACK NOTED ON UPPER PORTION OF FORWARD R/H BAFFLE IN FRONT OF #,OK,UPPER PORTION OF FORWARD R/H BAFFLE,BAFFLE,CRACK,,STOP DRILLED CRACK & RIVETED DOUBLER PLATE IN REFERENCE,,,"CRACK, DOUBLER PLATE",STOP & RIVETED,
103260,#3 ROCKER COVER IS LEAKING.,OK,#3,ROCKER COVER,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103261,"#1, 3, 4 & 2 ROCKER COVERS LEAKING (ALL 4).",OK,ALL 4,ROCKER COVERS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
103262,TABS ARE WORN OFF OF BAFFLE PLUGS.,OK,,BAFFLE PLUGS TABS ,WORN,,REPLACED BAFFLE PLUGS.,,,BAFFLE PLUGS,REPLACED,
103263,#1 INTAKE IS LEAKING.,OK,#1,INTAKE,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103264,"#1, 2, 3 & 4 INTAKE GASKETS LEAKING.",OK,"#1, 2, 3 & 4",INTAKE GASKETS,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103265,#1 & 4 ROCKER COVER GASKETS LEAKING.,OK,#1 & 4,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
103266,"#2, 3, 4 INTAKES LEAKING ON L/H ENGINE.",OK,"#2, 3, 4 ON L/H ENGINE",INTAKES,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103267,R/H FORWARD BAFFLE SEAL LOOSE.,OK,R/H FORWARD,BAFFLE SEAL,LOOSE,,REATTACHED BAFFLE SEAL TO ENGINE BAFFLE.,,,BAFFLE SEAL,REATTACHED,
103268,R/H REAR ENGINE BAFFLE ATTACH BRACKET LOOSE.,OK,R/H REAR ENGINE,BAFFLE ATTACH BRACKET,LOOSE,,REMOVED R/H REAR BAFFLE. REATTACHED ATTACH BRACKET & RE,,,"BAFFLE, ATTACH BRACKET","REMOVED, REATTACHED",
103269,#2 INTAKE GASKET LEAKING.,OK,#2,INTAKE GASKET,LEAKING,,REPLACED GASKET.,,,GASKET,REPLACED,
103270,#3 & 4 SIDE BAFFLE SEALS ARE WORN.,OK,#3 & 4 SIDE,BAFFLE SEALS,WORN,,REPLACED BAFFLE SEALS.,,,BAFFLE SEALS,REPLACED,
103271,BAFFLE CRACKED @ #1 CYL.,OK,#1 CYL,BAFFLE,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
103272,CRACK ON CYLINDER #1 BAFFLING.,OK,CYLINDER #1,BAFFLING,CRACK,,"STOP DRILLED CRACK, NO FURTHER DEFECTS NOTED.",,,DRILLED CRACK,STOP,
103273,BAFFLING ABOVE CYLINDER #4 HAS A CRACK IN IT.,OK,ABOVE CYLINDER #4,BAFFLING,CRACK,,"STOP DRILLED CRACK, NO FURTHER DEFECTS NOTED.",,,DRILLED CRACK,STOP,
103274,INTAKES #2 & 4 LEAKING.,OK,#2 & 4,INTAKES,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103275,BOTH BAFFLE BUTTONS WORN.,OK,BOTH,BAFFLE BUTTONS,WORN,,REPLACED BOTH PLUGS.,,,PLUGS,REPLACED,
103276,FORWARD BAFFLE SEAL HAS WORN SPOTS BY ENGINE INDUCTION.,OK,FORWARD,BAFFLE SEAL,WORN,,INSTALLED BLACK RTV IN AREAS WORN.,,BLACK,RTV,INSTALLED,
103277,MOMENTARY ENGINE ROUGHNESS.,OK,ENGINE,,ROUGHNESS,,PERFORMED ENGINE RUN UP. NO ROUGHNESS NOTED THROUGH ENT,,,ENGINE,RAN,
103278,"SCREW MISSING #3 CYLINDER ROCKER COVER, L/H ENGINE.",OK,"#3 CYLINDER, L/H ENGINE",ROCKER COVERS SCREW,MISSING,,INSTALLED NEW SCREW.,,NEW,SCREW,INSTALLED,
103279,"#2, 3 ROCKER COVERS LEAKING ON R/H ENGINE.",OK,"#2, 3 ON R/H ENGINE",ROCKER COVERS,LEAKING,,REMOVED & REPLACED ROCKER GASKETS ON R/H ENG.,,,ROCKER GASKETS,REMOVED & REPLACED,
103280,"#2, 3, 4 INTAKES LEAKING ON R/H ENGINE.",OK,"#2, 3, 4 ON R/H ENGINE",INTAKES,LEAKING,,"REMOVED & REPLACED #2, 3 & 4 INTAKE GASKETS ON R/H ENG.",,,INTAKE GASKETS,REMOVED & REPLACED,
103281,#2 & 4 INTAKE GASKETS LEAKING ON L/H ENGINE.,OK,#2 & 4 ON L/H ENGINE,INTAKE GASKETS,LEAKING,,REMOVED & REPLACED #2 & 4 INTAKE GASKETS ON L/H ENG.,,,INTAKE GASKETS,REMOVED & REPLACED,
103282,#3 & 4 ROCKER COVERS LEAKING ON L/H ENGINE.,OK,#3 & 4 ON L/H ENGINE,ROCKER COVERS,LEAKING,,REMOVED & REPLACED #3 & 4 ROCKER COVERS ON L/H ENGINE.,,,ROCKER COVERS,REMOVED & REPLACED,
103283,R/H BAFFLE TIE ROD IS RUBBING ON OIL RETURN LINE CLAMP.,OK,R/H,BAFFLE TIE ROD,RUBBING,,INSPECTED OIL RETURN LINE & TIE ROD - OK. ADJUSTED OIL,,,"OIL RETURN LINE, TIE ROD, OIL","INSPECTED, ADJUSTED",
103284,"#2, 3 & 4 INTAKE GASKETS LEAKING ON L/H ENGINE.",OK,"#2, 3 & 4 ON L/H ENGINE",INTAKE GASKETS,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103285,R/H ENGINE BACK BONE SEEPING OIL.,OK,R/H ENGINE BACK BONE,BACK BONE,SEEPING,,"REMOVED BOLTS (ONE AT A TIME), CLEANED, RESEALED & RETO",,,BOLTS,"REMOVED, CLEANED, RESEALED & RETO",
103286,R/H ENGINE #2 & 4 ROCKER BOX COVERS LEAKING.,OK,R/H ENGINE #2 & 4,ROCKER BOX COVERS,LEAKING,,REMOVED & REPLACED R/H ENGINE CYLINDER #2 & 4 ROCKER COVER GASK,,,ROCKER COVER GASK,REMOVED & REPLACED,
103287,BAFFLE CONNECTION ROD LOOSE ON #1 & 3 CYLINDER OF L/H ENGINE.,OK,#1 & 3 CYLINDER OF L/H ENGINE,BAFFLE CONNECTION ROD,LOOSE,,TIGHTENED BAFFLE CONNECTING ROD BETWEEN #1 & 3 CYLINDER,,,BAFFLE CONNECTING ROD,TIGHTENED,
103288,#3 & 4 INTAKE IS LEAKING.,OK,#3 & 4,INTAKE,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103289,BAFFLE PLUGS ABOVE #3 & 4 CYLINDER WORN.,OK,ABOVE #3 & 4 CYLINDER,BAFFLE PLUGS,WORN,,REMOVED & REPLACED BAFFLE PLUGS.,,,BAFFLE PLUGS,REMOVED & REPLACED,
103290,L/H SIDE BAFFLE REQUIRES BAFFLE PLUG PATCH.,OK,L/H SIDE,BAFFLE PLUG PATCH,REQUIRE PROBLEM,,INSTALLED BAFFLE PLUG PATCH.,,,BAFFLE PLUG PATCH,INSTALLED,
103291,"SCREW MISSING ON ENGINE BAFFLE #3 CYL, BY OIL FILL TUBE.",OK,"ENGINE #3 CYL, BY OIL FILL TUBE",BAFFLE SCREW,MISSING,,INSTALLED SCREW ONTO BAFFLE.,,,SCREW,INSTALLED,
103292,BAFFLE PATCH CRACKED ABOVE #4 CYL.,OK,ABOVE #4 CYL,BAFFLE PATCH,CRACKED,,"REMOVED CRACKED BAFFLE PATCH, FABRICATED NEW PATCH, INS",,,"BAFFLE PATCH, PATCH","REMOVED, FABRICATED",
103293,L/H ENGINE #4 CYLINDER DEAD.,OK,L/H ENGINE #4 CYLINDER,,DEAD,,COMPRESSION ON #4 = 78/80.,,,#4,COMPRESSION,
103294,L/H FORWARD BAFFLE MATERIAL TORN.,OK,L/H FORWARD,BAFFLE MATERIAL,TORN,,REMOVED & REPLACED BAFFLE MATERIAL.,,,BAFFLE MATERIAL,REMOVED & REPLACED,
103295,#3 & 4 INTAKES LEAKING ON L/H ENGINE.,OK,#3 & 4 ON L/H ENGINE,INTAKES,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103296,L/H ENGINE BACK BAFFLE BY #4 CYLINDER HAS A CRACK.,OK,L/H ENGINE BACK #4 CYLINDER,BAFFLE,CRACKED,,REMOVED & REPLACED BRACKET.,,,BRACKET,REMOVED & REPLACED,
103297,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",OK,"2, 3 & 4 ON R/H ENGINE",INTAKES,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103298,L/H ENGINE #4 CYLINDER DEAD.,OK,L/H ENGINE #4 CYLINDER,,DEAD,,"DISCONNECTED PROP GOV CABLE, PROP GOV OIL LINE, #2 & 4",,,"PROP GOV CABLE, PROP GOV OIL LINE",DISCONNECTED,
103299,L/H ENGINE #4 CYLINDER DEAD.,OK,L/H ENGINE #4 CYLINDER,,DEAD,,REPLACED EXHAUST VALVE & GROUND VALVE SEAT IAW LYCOMING,,,"EXHAUST VALVE, VALVE SEAT",REPLACED & GROUNDED,
103300,L/H ENGINE #4 CYLINDER DEAD.,OK,L/H ENGINE #4 CYLINDER,,DEAD,,REINSTALLED AFT BAFFLE & BOTH SIDE BAFFLES. INSTALLED B,,,AFT BAFFLE & SIDE BAFFLES,REINSTALLED,
103301,#1 & 4 ROCKER GASKETS LEAKING ON L/H ENGINE.,OK,#1 & 4 ON L/H ENGINE,ROCKER GASKETS,LEAKING,,REPLACED L/H ENGINE ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REPLACED,
103302,L/H ENGINE BACK BONE LEAKING OIL IN MIDDLE.,OK,L/H ENGINE,BACK BONE,LEAKING,,"CLEANED, RESEALED & TORQUED TOP BACK BONE BOLTS.",,,TOP BACK BONE BOLTS,CLEANED & RESEALED & TORQUED,
103303,INTAKE GASKETS LEAKING ON L/H ENGINE.,OK,L/H ENGINE,INTAKE GASKETS,LEAKING,,REMOVED & REPLACED ALL INTAKE GASKETS ON L/H ENGINE.,,,INTAKE GASKETS,REMOVED & REPLACED,
103304,L/H ENGINE QUICK DRAIN NEEDS INSTALLATION.,OK,L/H ENGINE,QUICK DRAIN,NEED PROBLEM,,INSTALLED QUICK DRAIN.,,,QUICK DRAIN,INSTALLED,
103305,R/H ENGINE QUICK DRAIN NEEDS INSTALLATION.,OK,R/H ENGINE,QUICK DRAIN,NEED PROBLEM,,INSTALLED QUICK DRAIN.,,,QUICK DRAIN,INSTALLED,
103306,"#1, 2 & 4 CYLINDER INTAKES LEAKING.",OK,"#1, 2 & 4 CYLINDER",INTAKES,LEAKING,,REMOVED & REPLACED CYLINDER INTAKE GASKETS.,,,CYLINDER INTAKE GASKETS,REMOVED & REPLACED,
103307,CYLINDER #1 INTAKE GASKET IS LEAKING.,OK,CYLINDER #1,INTAKE GASKET,LEAKING,,REPLACED LEAKY CYLINDER #1 INTAKE GASKET.,,,INTAKE GASKET,REPLACED,
103308,TYWRAP BROKEN ON STAND OFF ON #2 CYL.,OK,#2 CYL,TYWRAP,BROKEN,,SECURED WITH TYWRAP.,,,TYWRAP,SECURED,
103309,BATTERY BOX BRACKET CRACKED.,OK,,BATTERY BOX BRACKET,CRACKED,,REMOVED & REPLACED BRACKET.,,,BRACKET,REMOVED & REPLACED,
103310,SIMULATED OIL LEAK ON ENGINE,DIFFICULT,,,,,REMOVED SIMULATION,,,SIMULATION,REMOVED,
103311,BAFFLE PLUG ABOVE #4 CYLINDER HAS BROKEN TABS.,OK,ABOVE #4 CYLINDER,BAFFLE PLUG TABS,BROKEN,,REPLACED BAFFLE PLUGS WITH NEW.,,NEW,BAFFLE PLUGS,REPLACED,
103312,#2 ROCKER COVER LEAKING.,OK,#2,ROCKER COVER,LEAKING,,REMOVED & REPLACED #2 ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103313,#2 OIL RETURN LINE CHAFING ON BAFFLING.,OK,#2,OIL RETURN LINE,CHAFING,,INSTALLED CHAFE WRAP & APPLIED SILICONE TO AREA. NO DAM,,,"CHAFE WRAP, SILICONE",INSTALLED & APPLIED,
103314,#2 & 4 INTERCYLINDER BAFFLE CRACKED.,OK,#2 & 4 INTERCYLINDER,BAFFLE,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
103315,INTAKES 2 & 3 LEAKING ON L/H ENGINE.,OK,2 & 3 ON L/H ENGINE,INTAKES,LEAKING,,REPLACED 2 & 3 GASKETS.,,,GASKETS,REPLACED,
103316,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,OK,2 & 4 ON R/H ENGINE,INTAKES,LEAKING,,REMOVED & REPLACED GASKETS.,,,GASKETS,REMOVED & REPLACED,
103317,#3 CYLINDER L/H ENGINE THRUST BUTTONS WORN.,OK,#3 CYLINDER L/H ENGINE,THRUST BUTTONS,WORN,,REMOVED & REPLACED BUTTONS.,,,BUTTONS,REMOVED & REPLACED,
103318,ALL 4 ROCKER COVERS LEAKING ON R/H ENGINE.,OK,ALL 4 ON R/H ENGINE,ROCKER COVERS,LEAKING,,"REMOVED ROCKER COVERS, CLEANED COVERS & INSTALLED NEW G",,NEW,"ROCKER COVERS, COVERS, G","REMOVED, CLEANED, INSTALLED",
103319,"ROCKER COVERS 1, 2, 3 & 4 LEAKING ON L/H ENGINE.",OK,"1, 2, 3 & 4 ON L/H ENGINE",ROCKER COVERS,LEAKING,,REMOVED ROCKER COVERS & CLEANED OLD GASKET MATERIAL FRO,,,"ROCKER COVERS, GASKET MATERIAL","REMOVED, CLEANED",
103320,#2 BAFFLE SEAL DISCONNECTED.,OK,#2,BAFFLE SEAL,DISCONNECTED,,RESECURED LOOSE BAFFLE SEAL.,,,BAFFLE SEAL,RESECURED,
103321,WIRING BETWEEN #2 - 4 UNSUPPORTED.,OK,#2 - 4,WIRING,UNSUPPORTED,,RESECURED WIRING TO BAFFLE STANDOFF.,,,WIRING,RESECURED,
103322,#1 CHT RED X AT FULL POWER.,OK,#1,CHT,RED X,,OPS CHECK GOOD.,,,OPS,CHECK,
103323,#1 EXHAUST GAS TEMPERATURE RED X.,OK,#1,EXHAUST GAS,TEMPERATURE,,"REMOVED & REPLACED #1 EGT, OPS CHECK GOOD.",,,EGT,REMOVED & REPLACED,
103324,#1 ROCKER COVER LEAKING.,OK,#1,ROCKER COVER,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKET.,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103325,#1 CHT RED X AT FULL POWER.,OK,#1,CHT,RED X,,REMOVED & REPLACED CHT PROBE ON #1 CYL.,,REPLACED,CHT PROBE,REMOVED & REPLACED,
103326,"#1, 2, 4 INTAKE GASKETS LEAKING.",OK,"#1, 2, 4",INTAKE GASKETS,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103327,ENGINE FAILED ONCE ON RUN UP. ENGINE RAN ROUGH & ALMOST QUIT,OK,ENGINE,,FAILED & ROUGH & QUIT,,PLACED HELICOPTER IN HEATER HANGAR. STARTED ENGINE USIN,,,"HELICOPTER, ENGINE","PLACED, STARTED",
103328,INTAKES 2 & 4 LEAKING ON R/H ENG.,OK,2 & 4 ON R/H ENG,INTAKES,LEAKING,,REMOVED & REPLACED INTAKE GASKETS.,,,INTAKE GASKETS,REMOVED & REPLACED,
103329,INTAKES 1 & 3 LEAKING ON L/H ENG.,OK,1 & 3 ON L/H ENG,INTAKES,LEAKING,,"UPON FURTHER INSP, NO LEAK FROM INTAKE TUBE FOUND.",,,INTAKE TUBE,INSP,
103330,#3 & 4 CYLINDER INTAKE GASKETS ARE LEAKING.,OK,#3 & 4 CYLINDER,INTAKE GASKETS,LEAKING,,REMOVED & REPLACED GASKETS.,,,GASKETS,REMOVED & REPLACED,
103331,#4 INTAKE IS LEAKING.,OK,#4,INTAKE,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
103332,R/H FORWARD ENGINE BAFFLE SEAL LOOSE.,OK,R/H FORWARD ENGINE,BAFFLE SEAL,LOOSE,,REATTACHED BAFFLE SEAL.,,,BAFFLE SEAL,REATTACHED,
103333,#3 INTAKE LEAKING.,OK,#3,INTAKE,LEAKING,,REPLACED GASKET.,,,GASKET,REPLACED,
103334,"2 BAFFLE SCREWS MISSING, ABOVE STARTER.",OK,"2, ABOVE STARTER",BAFFLE SCREWS,MISSING,,INSTALLED SCREWS.,,,SCREWS,INSTALLED,
103335,#4 INTAKE LEAKING.,OK,#4,INTAKE,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103336,R/H FORWARD BAFFLE MATERIAL LOOSE.,OK,R/H FORWARD,BAFFLE MATERIAL,LOOSE,,RESECURED BAFFLE MATERIAL.,,,BAFFLE MATERIAL,RESECURED,
103337,CYLINDER #2 INTAKE GASKET LEAKING.,OK,CYLINDER #2,INTAKE GASKET,LEAKING,,REMOVED & REPLACED CYLINDER #2 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103338,"CYLINDER #1, 4 ROCKER COVERS LEAKING.",OK,"CYLINDER #1, 4",ROCKER COVERS,LEAKING,,"REMOVED & REPLACED CYLINDER #1, 4 ROCKER COVER GASKETS.",,,ROCKER COVER GASKETS,REMOVED & REPLACED,
103339,#1 & 2 CYLINDER ROCKER COVER GASKETS LEAKING.,OK,#1 & 2 CYLINDER,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED ROCKER COVER GASKETS.,,,ROCKER COVER GASKETS,REMOVED & REPLACED,
103340,#3 INTAKE GASKET LEAKING.,OK,#3,INTAKE GASKET,LEAKING,,REMOVED & REPLACED #3 INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103341,#2 CYLINDER INTAKE GASKET LEAKING.,OK,#2 CYLINDER,INTAKE GASKET,LEAKING,,REMOVED & REPLACED #2 CYLINDER INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103342,BAFFLE CRACKED ABOVE #1 CYL.,OK,ABOVE #1 CYL,BAFFLE,CRACKED,,STOP DRILLED CRACK.,,,DRILLED CRACK,STOP,
103343,#2 INTAKE GASKET LEAKING.,OK,#2,INTAKE GASKET,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103344,#3 & 4 ROCKER COVER GASKETS LEAKING.,OK,#3 & 4,ROCKER COVER GASKETS,LEAKING,,REMOVED & REPLACED ROCKER COVERS.,,,ROCKER COVERS,REMOVED & REPLACED,
103345,"#1, 2, 4 INTAKES LEAKING.",OK,"#1, 2, 4",INTAKES,LEAKING,,REMOVED & REPLACED GASKETS.,,,GASKETS,REMOVED & REPLACED,
103346,R/H ENGINE BAFFLE PLUG LOCK TAB BROKEN.,OK,R/H ENGINE,BAFFLE PLUG LOCK TAB,BROKEN,,INSTALLED NEW BAFFLE PLUG.,,NEW,BAFFLE PLUG,INSTALLED,
103347,#4 CYLINDER INTAKE GASKET IS LEAKING.,OK,#4 CYLINDER,INTAKE GASKET,LEAKING,,REMOVED & REPLACED GASKET.,,,GASKET,REMOVED & REPLACED,
103348,#3 INTAKE LEAKING.,OK,#3,INTAKE,LEAKING,,REMOVED & REPLACED INTAKE GASKET.,,,INTAKE GASKET,REMOVED & REPLACED,
103349,SCREW MISSING R/H BAFFLE.,OK,R/H,BAFFLE SCREW,MISSING,,REPLACED MISSING SCREW.,,,SCREW,REPLACED,
103350,FORWARD LOWER ENGINE BAFFLE SEAL WORN ABOVE ENGINE AIR INTAKE.,OK,FORWARD LOWER ENGINE,BAFFLE SEAL,WORN,,INSTALLED RTV TO AREAS.,,,RTV,INSTALLED,
