IDENT,PROBLEM,TYPE,LOCATION,PART,TAGEDPROBLEM,ACTION,TYPE,WITH,INSTALL TYPE,ACTIONPART,TAGGEDACTION,CAUSE
103128,"#2 & 3 ROCKER COVER GASKETS LEAKING, L/H ENGINE.",Ok,#2 & 3,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103129,"BAFFLE SEAL ABOVE AIR FILTER BOX, CHAFED.",Ok,ABOVE AIR FILTER BOX,BAFFLE SEAL,CHAFING,APPLIED SILICONE TO AREA WHERE NEEDED. NO DAMAGE NOTED.,,,,SILICONE,APPLIED,
103130,#2 INTAKE TUBE GASKET LEAKING.,Ok,#2,INTAKE TUBE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103131,#2 INTAKE GASKET LEAKING.,Ok,#2,INTAKE GASKET,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103132,#2 & 3 CYLINDER ROCKER COVERS LEAKING.,Ok,#2 & 3 CYLINDER,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103133,#2 CYLINDER HEAD TEMPERATURE FITTING NEED TO BE REPLACED.,Ok,#2,CYLINDER HEAD TEMPERATURE FITTING,NEED REPLACEMENT,REPLACED CHT FITTING.,,,,CHT FITTING,REPLACED,
103134,#4 INTAKE LEAKING.,Ok,#4,INTAKE,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
103135,"FORWARD BAFFLE SEALS ON ENGINE, WEAR MARKS AGAINST AIR FILTER.",Ok,FORWARD ON ENGINE,BAFFLE SEAL,WEAR,RTV'ED AREAS.,DIFFICULT,,,,,
103136,#2 CYLINDER INTAKE GASKET LEAKING.,Ok,#2 CYLINDER,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
103137,"#3, 4 & 1 INTAKES LEAKING.",Ok,"#3, 4 & 1",INTAKE,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
103138,#3 ROCKER DRAIN LINE CHAFING.,Ok,#3,ROCKER DRAIN LINE,CHAFING,INSTALLED CHAFE WRAP ONTO ROCKER DRAIN LINE. NO DAMAGE,,,,CHAFE WRAP,INSTALLED,
103139,"ACCIDENTALLY OVERSPED ENGINE BEFORE PULLING THROTTLE BACK, E",Ok,ENGINE,,OVERSPEED,EVALUATED DATA ON FDM CARD & FOUND ENGINE OVERSPEED TO,,,,"DATA, ENGINE","EVALUATED , FOUND",FOUND ENGINE OVERSPEED
103140,#4 INTAKE IS LEAKING.,Ok,#4,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103141,ENGINE BAFFLE PLUGS ARE WORN.,Ok,ENGINE,BAFFLE PLUG,WORN,REMOVED & REPLACED BAFFLE PLUGS.,,,,BAFFLE PLUG,REMOVED & REPLACED,
103142,"#1, 2 & 3 ROCKER COVERS ARE LEAKING.",Ok,"#1, 2 & 3",ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103143,#3 INTAKE GASKET LEAKING.,Ok,#3,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
103144,"LOWER INTERCYLINDER BAFFLE SPRING ON R/H SIDE OF ENGINE, BRO",Ok,R/H SIDE OF ENGINE,INTERCYLINDER BAFFLE SPRING,BROKEN,REMOVED & REPLACED BAFFLE SPRING.,,,,BAFFLE SPRING,REMOVED & REPLACED,
103145,INTAKES #1 & 2 LEAKING.,Ok,#1 & 2,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
103146,CYLINDER #1 & 4 INTAKE GASKETS LEAKING.,Ok,CYLINDER #1 & 4,INTAKE GASKET,LEAKING,INSTALLED NEW #1 & 4 INTAKE GASKETS.,,,NEW,INTAKE GASKET,INSTALLED,
103147,CYLINDER #2 INTAKE GASKET LEAKING.,Ok,CYLINDER #2,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103148,CYLINDER #1 ROCKER COVER GASKET LEAKING.,Ok,CYLINDER #1,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103149,#1 ROCKER DRAIN LINE LOOSE.,Ok,#1,ROCKER DRAIN LINE,LOOSE,TIGHTENED DRAIN LINE.,,,,DRAIN LINE,TIGHTENED,
103150,#2 ROCKER COVER LEAKING.,Ok,#2,ROCKER COVER,LEAKING,REMOVED & REPLACED #2 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103151,R/H AFT ENGINE BAFFLE MOUNTING BRACKET LOOSE.,Ok,R/H AFT ENGINE,BAFFLE MOUNTING BRACKET,LOOSE,REATTACHED MOUNTING BRACKET TO ENGINE BAFFLE.,,,,MOUNTING BRACKET,REATTACHED,
103152,BOLT MISSING ON #3 CYLINDER SIDE BAFFLE.,Ok,#3 CYLINDER SIDE,BAFFLE BOLT,MISSING,INSTALLED BOLT WHERE NEEDED.,,,,BOLT,INSTALLED,
103153,#3 CYLINDER ROCKER COVER GASKET LEAKING.,Ok,#3 CYLINDER,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103154,#2 INTAKE TUBE GASKET LEAKING.,Ok,#2,INTAKE TUBE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103155,#3 & 4 INTAKE GASKETS ARE LEAKING.,Ok,#3 & 4,INTAKE GASKET,LEAKING,REPLACED BOTH GASKETS.,,,,GASKET,REPLACED,
103156,#2 CYLINDER ROCKER DRAIN LINE LEAKING AT SUMP.,Ok,#2 CYLINDER AT SUMP,ROCKER DRAIN LINE,LEAKING,TIGHTENED CLAMPS ON ROCKER DRAIN LINE.,,,,CLAMP,TIGHTENED,
103157,EGT/CHT WIRE BUNDLE MOUNTING SCREW & IGN LEAD/OIL COOLER MOU,DIFFICULT,,,,TIGHTENED HARDWARED ON OIL COOLER.,,,,HARDWARE,TIGHTENED,
103158,"BAFFLE SCREW HAS OVERSIZED WASHER, WHICH IS CHAFING #3 CYLINDER R",Ok,#3 CYLINDER R,BAFFLE SCREW,CHAFING,REMOVED WASHER & INSTALLED CORRECT HARDWARE TO PREVENT,,,,"WASHER, HARDWARE","REMOVED , INSTALLED",
103159,"OIL LEAK AT CRANKCASE BOLTS, USED TO MOUNT FUEL FLOW TRANSDU",Ok,,CRANKCASE BOLT,OIL LEAK,"REMOVED BOLTS, CLEANED BOLT HOLES, RESEALED BOLTS & TOR",,,,"BOLT, BOLT HOLES, BOLT &TOR","REMOVED, CLEANED, RESEALED",
103160,#2 INTAKE GASKET LEAKING.,Ok,#2,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103161,#2 ROCKER COVER GASKET LEAKING.,Ok,#2,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103162,#2 & 4 INTAKES LEAKING.,Ok,#2 & 4,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
103163,"#3, 4 ROCKER COVERS LEAK.",Ok,"#3, 4",ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103164,#1 ROCKER BOX COVER GASKET LEAKING.,Ok,#1,ROCKER BOX COVER GASKET,LEAKING,INSTALLED NEW ROCKER BOX COVER GASKET.,,,NEW,ROCKER BOX COVER GASKET,INSTALLED,
103165,PROPELLER FLANGE RUN OUT CHECK REQUESTED.,DIFFICULT,,,,"PERFORMED TEST, RUN OUT BELOW .001",,,,,TESTED,RUN OUT BELOW .001
103166,LEFT #1 INTAKE LEAKING.,Ok,LEFT #1,INTAKE,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
103167,"SHEARED OFF RIVETS ON BAFFLE BRACKET, BEHIND #3 CYLINDER.",Ok,BEHIND #3 CYLINDER,BAFFLE BRACKET RIVET,SHEARED,AFTER BAFFLE INSTALLATION: REINSTALLED OIL FILLER TUBE,,,,"BAFFLE, OIL FILLER TUBE","INSTALLED, REINSTALLED",
103168,"SHEARED OFF RIVETS ON BAFFLE BRACKET, BEHIND #3 CYLINDER.",Ok,BEHIND #3 CYLINDER,BAFFLE BRACKET RIVET,SHEARED,"REMOVED BAFFLE, INSTALLED NEW RIVETS & REINSTALLED BAFF",,,NEW,"BAFFLE, RIVET, BAFFLE","REMOVED, INSTALLED , REINSTALLED",
103169,LWR FORWARD ENGINE SEAL WORN IN AREA ABOVE ENGINE INLET.,Ok,LWR FORWARD ABOVE ENGINE INLET,SEAL,WORN,INSTALLED RTV IN WORN AREAS.,,,,RTV,INSTALLED,
103170,#3 & 4 CYLINDER WERE REMOVED BY OFF SITE MAINTENANCE.,DIFFICULT,,,,"#4 PISTON PIN BORE DAMAGED. RECEIVED NEW PISTON, MEASUR",,,NEW,PISTON,RECEIVED & MEASURE,
103171,#3 & 4 CYLINDER WERE REMOVED BY OFF SITE MAINTENANCE.,DIFFICULT,,,,"FITTED NEW EXHAUST VALVE TO #3 CYLINDER, FITTED INTAKE VALVE",,,NEW,EXHAUST VALVE & INTAKE VALVE,FITTED,
103172,#3 & 4 CYLINDER WERE REMOVED BY OFF SITE MAINTENANCE.,DIFFICULT,,,,"FITTED NEW EXHAUST VALVE TO #4 CYLINDER, FITTED INTAKE VALVE",,,NEW,EXHAUST VALVE & INTAKE VALVE,FITTED,
103173,#2 & 4 INTAKES LEAKING.,Ok,#2 & 4,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
103174,CYLINDER #4 INTAKE GASKET LEAKING.,Ok,CYLINDER #4,INTAKE GASKET,LEAKING,REMOVED & REPLACED #4 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103175,FRONT CRANKSHAFT OIL SEAL LEAKING.,Ok,FRONT,CRANKSHAFT OIL SEAL,LEAKING,LEAK CHECK OK.,,,,LEAK,CHECKED,
103176,FRONT CRANKSHAFT OIL SEAL LEAKING.,Ok,FRONT,CRANKSHAFT OIL SEAL,LEAKING,REMOVED PROP & RING GEAR. REMOVED FRONT CRANKSHAFT OIL,,,,PROP & RING GEAR & CRANKSHAFT OIL,REMOVED,
103177,#2 & 3 CYLINDER INTAKE GASKETS LEAKING.,Ok,#2 & 3 CYLINDER,INTAKE GASKET,LEAKING,REMOVED & REPLACED #2 & 3 CYLINDER INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
103178,#2 INTAKE GASKET LEAKING.,Ok,#2,INTAKE GASKET,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103179,#2 INTAKE GASKET LEAKING.,Ok,#2,INTAKE GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
103180,#3 ROCKER COVER GASKET LEAKING.,Ok,#3,ROCKER COVER GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
103181,"ZERO COMPRESSION ON #1 CYLINDER. LEAKING FROM EXHAUST VALVE,",Ok,#1 CYLINDER,EXHAUST VALVE,"COMPRESSION PROBLEM, LEAKING","REPLACED CYLINDER ASSEMBLY WITH REPAIRED CYLINDER, NEW PISTON, RIN",,"WITH REPAIRED CYLINDER , NEW PISTON",,CYLINDER ASSEMBLY,REPLACED,
103182,#2 INTAKE LEAKS.,Ok,#2,INTAKE,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
103183,NEED 2 NEW BAFFLE BUTTONS.,Ok,,BAFFLE,NEED BUTTONS,INSTALLED BOTH BUTTONS.,,,,BUTTONS,INSTALLED,
103184,LWR FORWARD ENGINE COWL SEAL WEARING ON ENGINE INTAKE.,Ok,LWR FORWARD ENGINE,COWL SEAL,WEAR,INSTALLED RTV IN WORN AREAS.,,,,RTV,INSTALLED,
103185,#2 INTAKE GASKET LEAKING.,Ok,#2,INTAKE GASKET,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103186,#1 INTAKE GASKET LEAKING.,Ok,#1,INTAKE GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
103187,#1 CYLINDER OUTER BAFFLING CRACKED BY NUTPLATE.,Ok,#1 CYLINDER,OUTER BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
103188,#2 & 3 INTAKE GASKETS LEAKING.,Ok,#2 & 3,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
103189,"BOTTOM BAFFLE ON #1 CYLINDER, CHAFING ON CYLINDER FINS.",Ok,BOTTOM BAFFLE ON #1 CYLINDER,FINS,CHAFING,"REMOVED BAFFLE, FABRICATED & INSTALLED NEW BAFFLE.",,,NEW,BAFFLE,REMOVED & FABRICATED & INSTALLED,
103190,#4 CYLINDER BOTTOM BAFFLE CRACKED/CHAFING ON CYLINDER FINS.,Ok,#4 CYLINDER,BOTTOM BAFFLE,CRACKED & CHAFING,REMOVED OLD BAFFLE. FABRICATED NEW BAFFLE & INSTALLED.,,,"OLD, NEW",BAFFLE,REMOVED & FABRICATED & INSTALLED,
103191,ALL ROCKER COVER SCRWES ARE LOOSE.,Ok,ALL,ROCKER COVER SCRWES,LOOSE,TIGHTENED ALL SCREWS.,,,,SCREW,TIGHTENED,
103192,#3 & 4 CYLINDER INTAKE GASKETS ARE LEAKING.,Ok,#3 & 4 CYLINDER,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
103193,"WHILE FOGGING #2 CYLINDER, TIP FROM SPRAYER NOZZLE CAME INTO CONT",Ok,#2 CYLINDER,SPRAYER NOZZLE TIP,CONTACT,INSTALLED INTERCYLINDER BAFFLE & HARDWARE.,,,,INTERCYLINDER BAFFLE & HARDWARE,INSTALLED,
103194,"WHILE FOGGING #2 CYLINDER, TIP FROM SPRAYER NOZZLE CAME INTO CONT",Ok,#2 CYLINDER,SPRAYER NOZZLE TIP,CONTACT,"REMOVED NECESSARY BAFFLING, LINES, TUBES, HARDWARE TO F",,,,BAFFLING & LINE & TUBES & HARDWARE,REMOVED,
103195,"WHILE FOGGING #2 CYLINDER, TIP FROM SPRAYER NOZZLE CAME INTO CONT",Ok,#2 CYLINDER,SPRAYER NOZZLE TIP,CONTACT,REMOVED PISTON FROM ROD. PREPARED NEW PISTION FOR INSTA,,,NEW,PISTON,REMOVED & PREPARED & INSTALLED,
103196,"WHILE FOGGING #2 CYLINDER, TIP FROM SPRAYER NOZZLE CAME INTO CONT",Ok,#2 CYLINDER,SPRAYER NOZZLE TIP,CONTACT,"COMPLETED CYLINDER INSTALLATION. INSTALLED ROCKER COVER, INJ",,,,CYLINDER & ROCKER COVER & INJECTOR,INSTALLED,
103197,"WHILE FOGGING #2 CYLINDER, TIP FROM SPRAYER NOZZLE CAME INTO CONT",Ok,#2 CYLINDER,SPRAYER NOZZLE TIP,CONTACT,CYLINDER & PISTON REPLACEMENT DONE IAW LYCOMING DIRECT DRIVE,,,,CYLINDER & PISTON,REPLACED,
103198,1 BAFFLE BUTTON WORN.,Ok,1,BAFFLE BUTTON,WORN,REPLACED BUTTON.,,,,BUTTON,REPLACED,
103199,ENGINE FORWARD LWR SEAL WEARING INTO UPPER INTAKE AIR FILTER FRAME.,Ok,ENGINE FORWARD LWR,SEAL,WEAR,INSTALLED RTV TO AREAS.,,,,RTV,INSTALLED,
103200,L/H ENGINE BREATHER LINE KINKED.,Ok,L/H ENGINE,BREATHER LINE,KINKED,REPLACED TUBE.,,,,TUBE,REPLACED,
103201,R/H ENGINE HAS OIL LEAK AT HOISTING LOOP.,Ok,R/H ENGINE,HOISTING LOOP,OIL LEAK,LEAK CHECK GOOD.,,,,LEAK,CHECKED,
103202,"R/H #2, 3 & 4 INTAKE GASKETS ARE LEAKING.",Ok,"R/H #2, 3 & 4",INTAKE GASKET,LEAKING,LEAK CHECK GOOD.,,,,LEAK,CHECKED,
103203,R/H ENGINE #1 SIDE BAFFLE SEAL LOOSE.,Ok,R/H ENGINE #1 SIDE,BAFFLE SEAL,LOOSE,SECURED BAFFLE SEAL.,,,,BAFFLE SEAL,SECURED,
103204,#2 & 4 INTAKE GASKETS LEAKING ON L/H ENGINE.,Ok,L/H ENGINE #2 & 4,INTAKE GASKET,LEAKING,LEAK CHECK GOOD.,,,,LEAK,CHECKED,
103205,"#1, 3 & 4 ROCKER COVER GASKET LEAKING ON L/H ENGINE.",Ok,"L/H ENGINE #1, 3 & 4",ROCKER COVER GASKET,LEAKING,LEAK CHECK GOOD.,,,,LEAK,CHECKED,
103206,"R/H #2, 3 & 4 INTAKE GASKETS ARE LEAKING.",Ok,"R/H #2, 3 & 4",INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
103207,#2 & 4 INTAKE GASKETS LEAKING ON L/H ENGINE.,Ok,L/H ENGINE #2 & 4,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
103208,R/H ENGINE HAS OIL LEAK AT HOISTING LOOP.,Ok,R/H ENGINE,HOISTING LOOP,OIL LEAK,"REMOVED, CLEANED, SEALED & REINSTALLED BOLT.",,,,BOLT,REMOVED & CLEANED & SEALED & REINSTALLED,
103209,"#1, 3 & 4 ROCKER COVER GASKET LEAKING ON L/H ENGINE.",Ok,"#1, 3 & 4 L/H ENGINE",ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103210,LOWER COWL SEAL LOOSE.,Ok,LOWER,COWL SEAL,LOOSE,REATTACHED LOWER COWL SEAL.,,,,COWL SEAL,REATTACHED,
103211,"COWL BRACKET CRACKED, L/H ENGINE.",Ok,L/H ENGINE,COWL BRACKET,CRACKED,INSTALLED PATCH MADE OF LIKE MATERIAL.,,,,PATCH,INSTALLED,
103212,"COWL BRACKET CRACKED, L/H ENGINE.",Ok,L/H ENGINE,COWL BRACKET,CRACKED,REMOVED BRACKET. STARTED CREATING PATCH.,,,,BRACKET,REMOVED,
103213,DING IN COMPRESSOR FIRST STAGE BLADE.,Ok,,COMPRESSOR FIRST STAGE BLADE,DING,DAMAGE TO COMPRESSOR FIRST STAGE BLADE IS ACCEPTABLE. I,DIFFICULT,,,,,
103214,#4 INTAKE GASKET IS LEAKING.,Ok,#4,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103215,#3 ROCKER COVER GASKET LEAKING.,Ok,#3,ROCKER COVER GASKET,LEAKING,REMOVED CORK GASKET & REPLACED WITH SILICONE GASKET.,,WITH SILICONE GASKET,,CORK GASKET,"REMOVED, REPLACED",
103216,#4 ROCKER COVER GASKET LEAKING.,Ok,#4,ROCKER COVER GASKET,LEAKING,REMOVED CORK GASKET & REPLACED WITH SILICONE GASKET.,,WITH SILICONE GASKET,,CORK GASKET,"REMOVED, REPLACED",
103217,#2 & 3 ROCKER COVER GASKETS LEAKING.,Ok,#2 & 3,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
103218,#2 & 3 INTAKE GASKETS LEAKING.,Ok,#2 & 3,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
103219,#3 INTAKE GASKET LEAKING.,Ok,#3,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103220,#3 INTAKE LEAKING.,Ok,#3,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
103221,L/H & R/H BAFFLE PLUGS ARE MISSING TABS.,Ok,L/H & R/H,BAFFLE PLUG TAB,MISSING,REPLACED L/H & R/H BAFFLE PLUGS.,,,,BAFFLE PLUG,REPLACED,
103222,L/H ENGINE #4 ROCKER COVER LEAKING.,Ok,L/H ENGINE #4,ROCKER COVER,LEAKING,REMOVED & REPLACED ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103223,L/H ENGINE #2 & 4 INTAKES LEAKING.,Ok,L/H ENGINE #2 & 4,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS ON L/H ENGINE.,,,,INTAKE GASKET,REMOVED & REPLACED,
103224,"R/H ENGINE INTAKES 2, 3 & 4 LEAKING.",Ok,"R/H ENGINE INTAKES 2, 3 & 4",INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS ON R/H ENGINE.,,,,INTAKE GASKET,REMOVED & REPLACED,
103225,#4 INTAKE IS LEAKING.,Ok,#4,INTAKE,LEAKING,REMOVED & REPLACED #4 CYLINDER INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103226,R/H BAFFLE TIE ROD IS BROKEN.,Ok,R/H,BAFFLE TIE ROD,BROKEN,REMOVED & REPLACED R/H BAFFLE TIE ROD.,,,,BAFFLE TIE ROD,REMOVED & REPLACED,
103227,#4 ROCKER COVER GASKET LEAKING.,Ok,#4,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
103228,#1 & 4 INTAKE GASKETS LEAKING.,Ok,#1 & 4,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
103229,#1 OUTER CYLINDER BAFFLING CRACKED BY NUTPLATE.,Ok,#1 OUTER CYLINDER,BAFFLE,CRACKED,STOP DRILLED CRACK ON #1 CYLINDER OUTER BAFFLING.,,,,DRILLED CRACK,STOP,
103230,#4 INDUCTION TUBE GASKET IS LEAKING.,Ok,#4,INDUCTION TUBE GASKET,LEAKING,REMOVED & REPLACED #4 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103231,#3 & 4 INTAKES LEAKING.,Ok,#3 & 4,INTAKE,LEAKING,REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REPLACED,
103232,ALUM FITTINGS FOR OIL COOLER OK?,DIFFICULT,,,,FITTINGS OK.,,,,FITTINGS,CHECKED,
103233,OIL COOLER LWR O/B BOLT NO THREADS SHOWING.,Ok,,OIL COOLER LWR O/B BOLT,NO THREADS SHOWING,INSTALLED NEW BOLT.,,,NEW,BOLT,INSTALLED,
103234,BOTH BAFFLE BUTTONS WORN.,Ok,BOTH,BAFFLE BUTTONS,WORN,REMOVED & REPLACED BOTH BAFFLE BUTTONS.,,,,BAFFLE BUTTONS,REMOVED & REPLACED,
103235,OIL COOLER LOWER LINE REQ REROUTING.,Ok,LOWER,OIL COOLER LINE,NEED  REROUTING,REROUTED LOWER OIL COOLER LINE.,,,,OIL COOLER LINE,REROUTED,
103236,FRONT FORWARD BAFFLE HUNG UP ON BOLT OF ALTERNATOR EXTRA BRACKET,Ok,FRONT FORWARD,BAFFLE,HUNG UP,REROUTED BAFFLE.,,,,BAFFLE,REROUTED,
103237,"BAFFLE BOLT OR SCREW MISSING, FORWARD L/H SIDE IN FRONT OF #2 CY",Ok,FORWARD L/H SIDE IN FRONT OF #2 CY,BAFFLE BOLT OR SCREW,MISSING,INSTALLED NEW SCREW.,,,NEW,SCREW,INSTALLED,
103238,BAFFLE TIE WIRE INSTALLED WRONG ON R/H OF ENGINE.,Ok,R/H,BAFFLE TIE WIRE,INSTALLED WRONG,REMOVED & REPLACED R/H BAFFLE TIE WIRE.,,,,BAFFLE TIE WIRE,REMOVED & REPLACED,
103239,"NUT MISSING ON TOP BACKBONE OF ENGINE, AFT SLING POINT.",Ok,"TOP BACKBONE OF ENGINE, AFT SLING POINT",BACKBONE NUT,MISSING,INSTALLED NUT & WASHERS ON ENGINE AFT SLING POINT BOLT.,,,,NUT & WASHER,INSTALLED,
103240,FOD ON TOP L/H SIDE OF ENGINE,Ok,TOP L/H SIDE OF ENGINE,,FOREIGN OBJECT DAMAGED,REMOVED FOD FROM TOP L/H SIDE OF ENGINE,,,,FOD,REMOVED,
103241,EXTRA SPARK PLUG ON TOP OF #2 CYLINDER,Ok,#2 CYLINDER,SPARK PLUG,EXTRA SPARK PLUG,REMOVED EXTRA SPARK PLUG FROM #2 CYLINDER,,,,SPARK PLUG,REMOVED,
103242,"ENGINE BAFFLE CRACKED, ABOVE #1 CYLINDER.",Ok,ABOVE #1 CYLINDER,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
103243,CYLINDER #4 INTAKE GASKET LEAKING.,Ok,CYLINDER #4,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103244,"BAFFLE PLUG DAMAGED, REQUIRES REPLACEMENT.",Ok,,BAFFLE PLUG,DAMAGED,REMOVED & REPLACED BAFFLE PLUG.,,,,BAFFLE PLUG,REMOVED & REPLACED,
103245,#4 CYLINDER ROCKER COVER LEAKING.,Ok,#4 CYLINDER,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
103246,PROP/ENGINE OVERSPEED.,Ok,PROP/ENGINE,PROP/ENGINE,OVERSPEED,REVIEWED FDM DATA. FOUND OVERSPEED TO BE W/IN LIMITS PE,,,,FDM DATA,REVIEWED,FOUND OVERSPEED TO BE W/IN LIMITS PE
103247,"#1, 2 & 3 INTAKE GASKETS LEAKING.",Ok,"#1, 2 & 3",INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
103248,#3 & 4 ROCKER COVER GASKETS LEAKING.,Ok,#3 & 4,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVERS GASKETS.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
103249,#2 INTAKE LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
103250,#2 CYLINDER INTAKE IS LEAKING.,Ok,#2 CYLINDER,INTAKE,LEAKING,REPLACED INTAKE GASKET & LOCK WASHERS.,,,,INTAKE GASKET & LOCK WASHER,REPLACED,
103251,2 & 4 CYLINDER INNER BAFFLE CONNECTOR ROD IS BROKEN.,Ok,2 & 4 CYLINDER,INNER BAFFLE CONNECTOR ROD,BROKEN,REMOVED & REPLACED ROD.,,,,ROD,REMOVED & REPLACED,
103252,#4 CYLINDER INTAKE GASKET IS LEAKING.,Ok,#4 CYLINDER,INTAKE GASKET,LEAKING,REMOVED & REPLACED CYLINDER #4 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
